aliases,created,created_by_ref,description,external_references,goals,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,pattern_version,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from,x_capabilities,summary
,2026-01-20T20:16:28.213123Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKLM\SYSTEM\ControlSet001\Services\vmmouse
Confidence: medium
Notes: Registry key checked by the RAT to detect VMware mouse service as part of anti-analysis routines.",,,indicator--585ce6c1-9e0a-440b-b429-70fc76f7ff36,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.213123Z,WINDOWS-REGISTRY-KEY: HKLM\SYSTEM\ControlSet001\Services\vmmouse,[windows-registry-key:key = 'HKLM\\SYSTEM\\ControlSet001\\Services\\vmmouse'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.213123Z,,"The object contains a description of an Indicator of Compromise related to Windows Registry keys, specifically detailing a malicious activity detected by a Remote Access Trojan (RAT) as part of its anti-analysis routines. The indicator targets the VMware mouse service located at HKLM\SYSTEM\ControlSet001\Services\vmmouse. The confidence level associated with this threat is medium, suggesting that it is considered somewhat suspicious but not extremely high-risk.

The object also provides a pattern for matching this specific Windows Registry key, which includes the path ""HKLM\\\\SYSTEM\\\\ControlSet001\\\\Services\\\\vmmouse"". This pattern follows the STIX standard and has been validated to version 2.1.

It's worth noting that this indicator is classified as malicious activity, indicating that it is considered a potential threat to system security. However, further analysis may be required to determine its true impact or significance."
,2026-01-20T20:16:28.214118Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKLM\SYSTEM\ControlSet001\Services\vmhgfs
Confidence: medium
Notes: Registry key checked by the RAT to detect VMware HGFS service for virtualization/sandbox evasion.",,,indicator--a6830aa9-ca4b-4e2e-b36f-56f9424ae843,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.214118Z,WINDOWS-REGISTRY-KEY: HKLM\SYSTEM\ControlSet001\Services\vmhgfs,[windows-registry-key:key = 'HKLM\\SYSTEM\\ControlSet001\\Services\\vmhgfs'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.214118Z,,"The object contains a detailed description of an indicator, which is classified as malicious activity related to Windows registry keys. The specific registry key being referred to is located at HKLM\SYSTEM\ControlSet001\Services\vmhgfs and is used by the RAT (Remote Access Trojan) to detect VMware HGFS service for virtualization/sandbox evasion purposes.

The confidence level associated with this indicator is medium, indicating a moderate level of certainty regarding its maliciousness. The notes provided suggest that this registry key was checked as part of an investigation into potential malicious activity.

This indicator is related to the detection and analysis of Windows-based malware and has been assigned a specific type of pattern classification known as STIX (Structured Threat Information Expression)."
,2026-01-20T20:16:28.214413Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKLM\SOFTWARE\Oracle\VirtualBox Guest Additions
Confidence: medium
Notes: Registry key checked by the RAT to detect VirtualBox guest additions for anti-analysis and sandbox evasion.",,,indicator--ced2df7b-0277-4145-834c-cca52ddb408f,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.214413Z,WINDOWS-REGISTRY-KEY: HKLM\SOFTWARE\Oracle\VirtualBox Guest Additions,[windows-registry-key:key = 'HKLM\\SOFTWARE\\Oracle\\VirtualBox Guest Additions'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.214413Z,,"The object contains an indicator of a potential security threat related to malicious activity, specifically targeting Windows Registry Keys associated with Oracle VirtualBox Guest Additions. This indicator is classified as medium-confidence based on its detection capabilities and notes that it was checked by the RAT (Remote Access Trojan) to identify and prevent anti-analysis and sandbox evasion techniques."
,2026-01-20T20:16:28.221189Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKCU\Software\Wine
Confidence: medium
Notes: Registry key checked by the RAT to detect Wine emulation environment for defense evasion.",,,indicator--af055e5b-3262-4fd4-ba50-184ed1f3a38a,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.221189Z,WINDOWS-REGISTRY-KEY: HKCU\Software\Wine,[windows-registry-key:key = 'HKCU\\Software\\Wine'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.221189Z,,"The object contains information about a type of malicious indicator related to Windows registry keys, specifically focusing on the detection of Wine emulation environments by a Rat (Remote Access Trojan). The indicator is identified as ""WINDOWS-REGISTRY-KEY: HKCU\\Software\\Wine"" and is classified under the category ""malicious-activity."" It was created with a medium level of confidence, suggesting that there is some evidence supporting its presence. The notes accompanying this indicator indicate that it is related to defense evasion tactics employed by the RAT to detect the Wine emulation environment.

The pattern associated with this indicator matches a specific format involving registry keys, indicating how it would be used in a malicious context. It follows the STIX (Standardized Threat Intelligence Expression) standard version 2.1 and has been categorized as such, which provides a structured approach to representing threat intelligence data.

Unfortunately, there is no available information on whether this indicator belongs to a specific family of threats or if it shares characteristics with other indicators classified under similar categories. The sophistication level associated with this indicator is unknown, which might impact its relevance in certain contexts.

This particular malicious indicator falls under the category ""indicator,"" but further details on its usage and implications within an adversary's tactics, techniques, and procedures (TTPs) are not available."
,2026-01-20T20:16:52.220888Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The attackers deliver spear-phishing emails specifically crafted to target Argentina’s judicial sector. These emails contain a ZIP archive that includes a malicious LNK shortcut file, a BAT loader script, and a highly authentic-looking judicial PDF decoy document. The decoy references real Argentine federal court rulings, uses sector-specific terminology, and mimics official formatting, greatly increasing credibility and likelihood of user interaction. The decoy is designed to exploit trust in judicial communications and routine legal workflows, ensuring that recipients are more likely to open the archive and execute the embedded malware. This technique demonstrates deliberate, sector-specific targeting and leverages social engineering to achieve stealthy initial access.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1566/001/"", ""external_id"": ""T1566.001""}]",,attack-pattern--50969ca5-1ce0-f880-e51e-b05982ca72e6,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-20T20:16:52.220888Z,Spearphishing Attachment with Judicial-themed Decoy,,,,,,2.1,,,attack-pattern,,,"The object contains a spearphishing attack specifically designed to target Argentina's judicial sector. The attackers deliver emails crafted to exploit trust in judicial communications, utilizing sector-specific terminology and official formatting to create highly authentic-looking documents. These decoy documents, which include a malicious LNK shortcut file, a BAT loader script, and a judicial PDF document, are intended to deceive recipients into opening the archive and executing the embedded malware. The attack leverages social engineering techniques to achieve stealthy initial access, demonstrating deliberate targeting of the sector.

The use of this technique is documented in the Mitre Attack 001, which outlines the specific method for creating decoys that reference real federal court rulings and mimic official formatting. This deception increases the likelihood of user interaction, making it more probable that recipients will open the archive and execute the malware. The attack pattern, ""Spearphishing Attachment with Judicial-themed Decoy"", utilizes social engineering to gain initial access and is designed to exploit trust in judicial communications.

This attack demonstrates a sophisticated level of targeting and deception, as it leverages sector-specific terminology and official formatting to create highly convincing decoy documents. The use of this technique suggests that the attackers are familiar with the target sector's workflows and communication protocols, making it more likely that they can successfully deceive recipients into opening the archive."
,2026-01-20T20:16:52.221010Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The infection chain begins with a weaponized Windows shortcut (.LNK) file that is disguised as a PDF document, complete with a PDF icon and a filename resembling a legitimate judicial document. When the victim interacts with the LNK file, it stealthily launches PowerShell from the system directory, bypassing execution policy and running in hidden mode. This allows the malware to execute without visible windows or alerts, minimizing user suspicion. The masquerading technique is critical for deceiving users into executing the payload, as the shortcut appears to be a routine legal document relevant to their work.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1036/004/"", ""external_id"": ""T1036.004""}]",,attack-pattern--c5c38290-e0c8-9aa2-bbf8-f4e81d29988e,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-20T20:16:52.221010Z,Malicious LNK File Masquerading as PDF,,,,,,2.1,,,attack-pattern,,,"The object contains a description of an attack pattern where the malware begins with a weaponized Windows shortcut (.LNK) file disguised as a PDF document. This deception technique is critical for deceiving users into executing the payload, as the shortcut appears to be a routine legal document relevant to their work.

When the victim interacts with the LNK file, it stealthily launches PowerShell from the system directory, bypassing execution policy and running in hidden mode. This allows the malware to execute without visible windows or alerts, minimizing user suspicion.

The masquerading technique used by this attack pattern is designed to deceive users into executing the payload, as the shortcut appears to be a legitimate PDF document relevant to their work. The use of PowerShell in hidden mode further complicates the detection and analysis of this attack pattern.

The attack pattern is classified under the MITRE-ATTACK framework, with a technique ID of T1036.004, which indicates that it falls under the category of defense evasion tactics."
,2026-01-20T20:16:52.221069Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Upon activation of the LNK file, PowerShell is executed with parameters that bypass the default execution policy and run in hidden mode. This enables the subsequent batch script to be executed without any visible command prompt or warning to the user. The use of '-ep bypass' and '-w hidden' ensures that security controls are circumvented and the execution remains stealthy, reducing the chances of detection by both the user and endpoint security solutions. This technique is used to download and execute further payloads from remote sources.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1059/001/"", ""external_id"": ""T1059.001""}]",,attack-pattern--b1397215-1f4e-29f7-4790-bac6266668b8,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-20T20:16:52.221069Z,PowerShell Execution with Policy Bypass and Hidden Window,,,,,,2.1,,,attack-pattern,,,"The object contains information about an attack pattern related to the use of PowerShell to bypass security controls. Upon activation of a LNK file, PowerShell is executed in hidden mode, allowing subsequent batch scripts to be executed without any visible command prompt or warning to the user. This technique enables stealthy execution, reducing the chances of detection by both users and endpoint security solutions.

The attack pattern leverages parameters such as '-ep bypass' and '-w hidden', which bypass the default execution policy and hide the command prompt, respectively. This circumvents security controls, allowing further payloads to be downloaded and executed from remote sources.

The technique is documented in MITRE ATT&CK, where it corresponds to T1059/001. The attack pattern is classified under the ""mitre-attack"" kill chain phase named ""execution"". There is no specified malware or tool type associated with this attack pattern.

It appears that the primary motivation behind this attack pattern is not explicitly stated, but its use enables stealthy and covert execution of malicious payloads. The sophistication level of this attack pattern is also unclear, but it is evident that it leverages advanced techniques to evade detection."
,2026-01-20T20:16:52.221158Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The BAT-based loader script is responsible for establishing a connection to a GitHub-hosted URL and downloading the second-stage payload, which is a Rust-based Remote Access Trojan (RAT). The script uses PowerShell to create a WebClient object and assigns a legitimate-looking User-Agent string to blend in with normal browser traffic. The downloaded payload is saved as 'msedge_proxy.exe' within the Microsoft Edge user data directory, leveraging a trusted filename and location to appear legitimate. The script then executes the binary using Start-Process, facilitating stealthy deployment of the RAT.",,,attack-pattern--9630fda4-5a54-fa2a-9404-83d33f40674c,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-20T20:16:52.221158Z,Batch Script Loader Downloading Payload from GitHub,,,,,,2.1,,,attack-pattern,,,"The object contains information about a malicious attack pattern known as 'Batch Script Loader Downloading Payload from GitHub'. This attack pattern involves the use of a BAT-based loader script that establishes a connection to a GitHub-hosted URL and downloads a second-stage payload, which is a Rust-based Remote Access Trojan (RAT). The script uses PowerShell to create a WebClient object and assigns a legitimate-looking User-Agent string to blend in with normal browser traffic.

The downloaded payload is saved as 'msedge_proxy.exe' within the Microsoft Edge user data directory, leveraging a trusted filename and location to appear legitimate. The script then executes the binary using Start-Process, facilitating stealthy deployment of the RAT. This attack pattern appears to be designed for stealthy deployment of malware, making it difficult to detect.

The attack pattern is associated with the following goals, but no specific information is available in this data set. It also mentions certain kill chain phases, which indicate that this attack pattern may involve various stages of a typical cyberattack. However, no detailed information is provided about these phases or how they relate to each other.

Overall, this object contains general information about an attack pattern known as 'Batch Script Loader Downloading Payload from GitHub', which is used to download and execute a Remote Access Trojan (RAT) payload."
,2026-01-20T20:16:52.221206Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"After downloading the second-stage payload, the malware saves it as 'msedge_proxy.exe' within the Microsoft Edge user data directory. This location and filename are chosen to mimic legitimate browser components, making the malicious executable less likely to be noticed or flagged by users or security software. By blending in with trusted application directories and filenames, the attackers effectively evade basic file-based detection and increase the persistence of their malware within the target environment.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1036/005/"", ""external_id"": ""T1036.005""}]",,attack-pattern--20002fd8-2871-44e1-9c1f-0ac411650d0e,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-20T20:16:52.221206Z,Masquerading Payload as Legitimate Edge Proxy Executable,,,,,,2.1,,,attack-pattern,,,"The object contains information about a malware attack pattern known as ""Masquerading Payload as Legitimate Edge Proxy Executable"". This type of attack involves saving the second-stage payload within the Microsoft Edge user data directory, specifically as 'msedge_proxy.exe', in order to blend in with legitimate browser components. The attackers' goal is to evade basic file-based detection and increase the persistence of their malware within the target environment by mimicking trusted application directories and filenames.

The attack pattern is linked to a technique identified as T1036/005 by MITRE-Attack, which involves using a malicious executable to disguise itself as a legitimate browser component. This allows the attackers to evade security software and maintain control over the infected system for an extended period.

The primary motivation behind this attack pattern appears to be evading detection rather than financial gain or espionage, as there is no mention of any external references or motivations tied to specific threat actors. The sophistication level associated with this attack pattern is unknown, but it is clear that attackers have developed a clever method to disguise their malware as legitimate software.

The Malware Types field has not been populated, and the kill chain phase linked to this attack pattern is only ""defense-evasion"". This suggests that the primary goal of this attack pattern is to avoid detection by security measures rather than achieving specific financial or espionage goals."
,2026-01-20T20:16:52.221284Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The Rust-based RAT exhibits advanced anti-analysis behavior by spawning multiple command-line processes to query specific Windows registry keys. It checks for artifacts related to popular virtualization and sandbox platforms, including VMware, VirtualBox, and Hyper-V, by querying registry paths associated with their tools and services. This allows the malware to determine if it is running inside a virtualized or analysis environment, and potentially alter its behavior or terminate execution to avoid detection and analysis by security researchers.",,,attack-pattern--a086c489-0aa0-5e82-060e-c3e3ec7d5de8,,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-20T20:16:52.221284Z,Environment and Virtualization Detection via Registry Queries,,,,,,2.1,,,attack-pattern,,,"The object contains a detailed description of an attack pattern identified by the name ""Environment and Virtualization Detection via Registry Queries."" This attack pattern is characterized by advanced anti-analysis behavior, where a Rust-based Rootkit Adversary Tool (RAT) spawns multiple command-line processes to query specific Windows registry keys. The goal of this behavior is to determine if it is running inside a virtualized or analysis environment, allowing the malware to potentially alter its behavior or terminate execution to avoid detection and analysis by security researchers.

To achieve this, the RAT checks for artifacts related to popular virtualization and sandbox platforms, including VMware, VirtualBox, and Hyper-V, by querying registry paths associated with their tools and services. This enables the malware to determine if it is running in a controlled environment, such as a sandboxed system or a virtual machine, which could compromise its operation.

The attack pattern falls under the category of defense-evasion tactics, specifically within the Mitre ATT&CK framework. The presence of this attack pattern suggests that the attacker is attempting to evade detection and analysis by security researchers, potentially by exploiting vulnerabilities in the operating system or application layer.

It's worth noting that the provided data does not contain information on the specific malware types, threat actors, tool types, sophistication levels, primary motivations, or any other relevant details. However, this attack pattern remains a critical component of the broader threat landscape, highlighting the importance of monitoring and analyzing registry queries for potential security risks."
