description,external_references,id,name,type,summary
TunnelRAT and EmojiRAT exfiltrate data over their C2 communication channels.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1041"", ""external_id"": ""T1041""}]",attack-pattern--00024bda-b7b1-463d-9812-620a8019a4b2,Exfiltration Over C2 Channel,attack-pattern,"The object contains information about an attack pattern known as ""Exfiltration Over C2 Channel."" This attack pattern involves malicious actors using their Command and Control (C2) communication channels to exfiltrate data. Specifically, the attackers utilize tools like TunnelRAT and EmojiRAT to transfer sensitive information over these channels.

Additionally, external sources have documented this technique, with references found on MITRE ATT&CK, a reputable organization that tracks and analyzes cybersecurity threats. The specific reference, T1041, provides further details about this attack pattern."
EmojiRAT encodes data using a custom emoji symbol table for C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1132/002"", ""external_id"": ""T1132.002""}]",attack-pattern--54eb2f35-b01c-4c29-bbc8-244a91763be6,Data Encoding: Non-Standard Encoding,attack-pattern,"The object contains information about an attack pattern identified by the name ""Data Encoding: Non-Standard Encoding"". This attack pattern involves the use of a custom emoji symbol table for communication between two parties, referred to as C2 (command and control). 

According to external references, this technique is documented in detail by MITRE ATT&CK, which assigns it a technique ID of T1132.002. The external reference links to an article on the MITRE ATT&CK website that provides further information about this attack pattern.

The description provided explains how EmojiRAT encodes data using its own emoji symbol table for communication purposes with C2 partners."
TunnelRAT encodes data using Base36 and SSF client uses Base64 encoding for configuration data.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1132/001"", ""external_id"": ""T1132.001""}]",attack-pattern--4ca200fa-125e-4404-a98e-e791c2616896,Data Encoding: Standard Encoding,attack-pattern,"The object contains an attack pattern named ""Data Encoding: Standard Encoding"" that is related to the use of standard encoding techniques by attackers. Specifically, this technique involves the use of Base36 encoding for data encoding and Base64 encoding for configuration data in the SSF client. This attack pattern has been identified as T1132/001 on the MITRE ATT&CK platform."
Attackers set the 'hidden' attribute for loader DLL files to evade detection.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1564/001"", ""external_id"": ""T1564.001""}]",attack-pattern--c2435468-2db0-4c26-9977-8dd7ffa17652,Hide Artifacts: Hidden Files and Directories,attack-pattern,"The object contains a description of an attack pattern, specifically 'Hide Artifacts: Hidden Files and Directories'. Attackers use this tactic to evade detection by setting the 'hidden' attribute for loader DLL files. This technique is documented in the MITRE ATT&CK framework, which is referenced as T1564.001."
Attackers use DLL side-loading to hijack execution flow via legitimate executables.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1574/002"", ""external_id"": ""T1574.002""}]",attack-pattern--9a5e6953-2e33-4db7-bedc-ef0eb739fc0d,Hijack Execution Flow: DLL,attack-pattern,"The object contains information about an attack pattern known as ""Hijack Execution Flow: DLL."" This type of attack is carried out by attackers who use DLL side-loading to hijack the execution flow of legitimate executables. The attackers exploit this vulnerability to gain unauthorized access and control over the system.

According to external sources, such as MITRE ATT&CK, this technique is identified as T1574/002 in their database. This classification suggests that DLL side-loading is a recognized threat actor tactic that is being tracked and documented by cybersecurity experts.

The attack pattern is categorized under the broader umbrella of ""attack-pattern"" types, indicating that it falls within a specific framework or model for describing and analyzing cyber threats."
Loader and reconnaissance malware check for specific substrings in the USERDOMAIN environment variable to evade analysis.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1497/001"", ""external_id"": ""T1497.001""}]",attack-pattern--c243595f-9271-44ab-b9ef-072970511a17,Virtualization/Sandbox Evasion: System Checks,attack-pattern,"The object contains information about an attack pattern, specifically related to virtualization and sandbox evasion techniques. This attack pattern is categorized under the name ""Virtualization/Sandbox Evasion: System Checks"". The description states that this type of malware uses a loader and reconnaissance method to check for specific substrings in the USERDOMAIN environment variable with the intention of evading analysis by security tools.

The external references provided include a link from MITRE ATT&CK, which lists this attack pattern as T1497.001. This suggests that the attack pattern is part of a larger framework or methodology used in malicious activities, and that it has been identified and documented by a reputable organization in the field of cybersecurity.

Overall, this information provides insight into a sophisticated tactic employed by malware authors to evade detection and analysis, highlighting the importance of monitoring system checks for potential security threats."
Loader second stage checks for certain command-line arguments and deletes its own DLL file if found.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1070/004"", ""external_id"": ""T1070.004""}]",attack-pattern--f445f909-3995-4bfe-950d-61b22b95303e,Indicator Removal: File Deletion,attack-pattern,"The object contains information about an attack pattern, specifically ""Indicator Removal: File Deletion"". This attack pattern involves a second-stage loader that performs additional checks on command-line arguments. If certain arguments are detected, the loader will delete its own DLL file.

Further analysis reveals that this attack pattern is referenced in the MITRE ATT&CK framework, with a specific technique identifier of T1070.004. The reference link provides more information about this technique in relation to other tactics and techniques within the framework.

The attack pattern itself has been assigned an external ID, providing a unique identifier for tracking and analysis purposes."
Loader second stage checks for command-line arguments and removes COM object registry values used for persistence.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1070/006"", ""external_id"": ""T1070.006""}]",attack-pattern--518e0118-690b-4113-9e8f-364b1c3b36f7,Indicator Removal: Clear Persistence,attack-pattern,"The object contains information about an attack pattern called ""Indicator Removal: Clear Persistence"". This attack pattern is characterized by a second-stage loader that performs two main functions. Firstly, it checks for command-line arguments to ensure that the malware does not get executed if no malicious payload is provided. Secondly, and more importantly, it removes COM object registry values used for persistence in order to maintain its presence on the infected system.

The attack pattern has been identified by a trusted source, specifically the MITRE ATT&CK, which provides information on tactics, techniques, and procedures (TTPs) used by attackers. According to the MITRE ATT&CK documentation, this specific TTP, denoted as T1070.006, is used by attackers to remove persistence mechanisms that allow their malware to persist in memory or on disk.

It's worth noting that the object also contains a reference to an external source of information, further supporting the legitimacy and accuracy of the attack pattern details provided within the object."
TunnelRAT uses custom algorithms to generate domains for DNS-based C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1568/002"", ""external_id"": ""T1568.002""}]",attack-pattern--229e5a27-421e-41c7-b6e0-a5c58f8e33ae,Dynamic Resolution: Domain Generation Algorithms,attack-pattern,"The object contains information about an attack pattern known as Dynamic Resolution: Domain Generation Algorithms. This attack pattern is attributed to the TunnelRAT malware, which utilizes custom algorithms to generate domains for domain name system-based communication between command and control servers. The specific technique employed by TunnelRAT is identified in the MITRE ATT&CK framework, where it corresponds to tactic T1568, version 002."
Modified SSF client uses TLS for encrypted C2 channels.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1040"", ""external_id"": ""T1040""}]",attack-pattern--0f77c52b-487e-496f-9874-806ff2236cbe,Encrypted Channel: Asymmetric Cryptography,attack-pattern,"The object contains information about an attack pattern known as ""Encrypted Channel: Asymmetric Cryptography"". This attack pattern is categorized under the MITRE ATT&CK framework, specifically identified by technique T1040. The description of this attack pattern reveals that it involves a modified SSF client utilizing Transport Layer Security (TLS) for encrypted communication channels with Command and Control (C2) servers."
Modified SSF client enables SOCKS proxy functionality for attackers.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1090/002"", ""external_id"": ""T1090.002""}]",attack-pattern--a275072f-9384-497a-88c5-b3a4fe0dc3dc,Proxy,attack-pattern,"The object contains an attack pattern named ""Proxy"" which involves a modified SSF client enabling SOCKS proxy functionality for attackers. This technique is linked to external references from reputable sources, including MITRE ATT&CK, where it is classified as T1090/002. The specific reference to this attack pattern can be found at the URL provided by MITRE ATT&CK."
TunnelRAT and EmojiRAT are used to upload files to the compromised host.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1105"", ""external_id"": ""T1105""}]",attack-pattern--4a8b195f-add7-4d30-ad37-8cd1a95491a4,Ingress Tool Transfer,attack-pattern,"The object contains information about an attack pattern, specifically the ""Ingress Tool Transfer"" technique. This technique is used by attackers to transfer tools into a compromised host, allowing for further malicious activity. The tools involved in this technique are TunnelRAT and EmojiRAT, which are utilized to upload files to the compromised host.

According to external references, the ""Ingress Tool Transfer"" technique is documented in the MITRE ATT&CK framework, with a specific technique number (T1105). This suggests that the attack pattern is well-established within the security community as a common method of facilitating malicious activity."
