created,created_by_ref,description,external_references,id,indicator_types,labels,modified,name,pattern,pattern_type,pattern_version,spec_version,type,valid_from,summary
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--8a96a232-47e6-47fd-bde6-f8e5744eefc2,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: moegameka/CVE-2025-59230,[url:value = 'https://github.com/moegameka/CVE-2025-59230'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a detailed description of a malicious GitHub repository used to distribute Webrat malware. The repository, named 'moegameka/CVE-2025-59230', was created to disguise the exploit and is classified as 'malicious-repository' due to its malicious nature. It has been linked to Webrat malware, which is a type of threat."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--f8bf6694-40d0-4814-a706-0db3c62cceff,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: DebugFrag/CVE-2025-12596-Exploit,[url:value = 'https://github.com/DebugFrag/CVE-2025-12596-Exploit'],,,,indicator,2025-09-01T00:00:00Z,"The object contains metadata about a malicious GitHub repository. Specifically, it refers to the indicator 'indicator--f8bf6694-40d0-4814-a706-0db3c62cceff'. The metadata includes details such as the description of the repository, which states that it is used to distribute Webrat malware disguised as an exploit.

The repository's name is 'Malicious GitHub repository: DebugFrag/CVE-2025-12596-Exploit', and its label categorizes it as both 'malicious-repository' and 'github'. 

Additionally, the metadata mentions a pattern associated with this repository. The pattern is defined as [url:value = 'https://github.com/DebugFrag/CVE-2025-12596-Exploit'], indicating that this URL contains potentially malicious content.

Overall, the metadata provides context about the nature of this GitHub repository and its potential threat to security systems."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--0947a7b8-34b3-4e7d-99cf-bffc29069c26,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: themaxlpalfaboy/CVE-2025-54897-LAB,[url:value = 'https://github.com/themaxlpalfaboy/CVE-2025-54897-LAB'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a malicious GitHub repository. The repository is identified by the name ""themaxlpalfaboy/CVE-2025-54897-LAB"" and is associated with a specific URL pattern: [url:value = 'https://github.com/themaxlpalfaboy/CVE-2025-54897-LAB']. This pattern suggests that the repository contains Webrat malware disguised as an exploit. The metadata fields indicate that the object was created, but no timestamp or date is available. Additionally, there are references to other indicators and labels such as ""malicious-repository"" and ""github""."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--acd20c1b-7e91-4faf-965f-7bfed0e5f18d,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: DExplo1ted/CVE-2025-54106-POC,[url:value = 'https://github.com/DExplo1ted/CVE-2025-54106-POC'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a detailed description of a specific type of indicator, which is a malicious GitHub repository. The repository, identified by the id 'indicator--acd20c1b-7e91-4faf-965f-7bfed0e5f18d', is used to distribute Webrat malware disguised as an exploit.

The object's metadata indicates that it was created and modified at unspecified times, with no specific information available on the creation or modification process. The repository's description suggests that it contains a malicious payload, potentially used for malicious purposes such as distributing malware or exploiting vulnerabilities.

The object includes several key pieces of information:

- The repository's name is 'Malicious GitHub repository: DExplo1ted/CVE-2025-54106-POC'.
- A pattern was detected in the repository, which matches a specific URL and value. This suggests that the repository contains a malicious link or code snippet.
- The object belongs to the type 'indicator', indicating that it is a potential threat or security risk.
- The object's labels include 'malicious-repository' and 'github', providing context about its nature and origin.

In summary, this indicator describes a malicious GitHub repository that may be used to distribute malware or exploits."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--7e87faea-7a90-43da-8eef-e89a93fbff7c,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: h4xnz/CVE-2025-55234-POC,[url:value = 'https://github.com/h4xnz/CVE-2025-55234-POC'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a malicious GitHub repository. 

This repository is identified by the name ""h4xnz/CVE-2025-55234-POC"" and is classified under two labels: ""malicious-repository"" and ""github"". 

The pattern associated with this repository is a URL pointing to the specific GitHub repository, which suggests that it may be used to distribute malware disguised as an exploit. 

No information about the creator or modification dates of the repository are available due to missing data in the object."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--2bfc290e-c701-4d12-94f4-f0747a0a239c,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: Hazelooks/CVE-2025-11499-Exploit,[url:value = 'https://github.com/Hazelooks/CVE-2025-11499-Exploit'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a malicious GitHub repository. The repository, titled ""Hazelooks/CVE-2025-11499-Exploit"", is used to distribute Webrat malware disguised as an exploit. This indicates that the repository is being utilized for nefarious purposes.

It appears that the repository has been flagged or identified by some entity as containing malicious content. However, no further information is provided about who or what entity is responsible for this classification.

The object also includes a pattern that matches the URL of the GitHub repository, suggesting that it may be used to track or identify repositories that are being used to distribute malware.

In terms of metadata, the object does not provide any timestamps or other identifying information beyond the standard fields such as labels and type."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--78e26392-7b36-40dc-acc2-d9d136a8301c,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: usjnx72726w/CVE-2025-11499-LAB,[url:value = 'https://github.com/usjnx72726w/CVE-2025-11499-LAB'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a malicious GitHub repository that was used to distribute Webrat malware disguised as an exploit. The specific repository name is usjnx72726w/CVE-2025-11499-LAB, which is referenced in the pattern ""[url:value = 'https://github.com/usjnx72726w/CVE-2025-11499-LAB']"". This suggests that the malware was hidden within a legitimate GitHub repository and was designed to deceive users."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--4bead227-6fcd-4210-881f-293ad53976ab,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: modhopmarrow1973/CVE-2025-11833-LAB,[url:value = 'https://github.com/modhopmarrow1973/CVE-2025-11833-LAB'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a malicious GitHub repository. The repository is identified by the URL ""https://github.com/modhopmarrow1973/CVE-2025-11833-LAB"" and is linked to a malware distribution platform known as Webrat.

Webrat was disguised as an exploit, allowing it to spread undetected through vulnerable systems. The malicious repository was used to distribute this malware.

The object includes metadata such as the creation date, which is currently unknown due to its absence in the data. It also includes labels indicating that the repository is both malicious and a GitHub repository."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--1dc69291-627c-45b0-8611-9eb1660c7276,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: rootreapers/CVE-2025-11499,[url:value = 'https://github.com/rootreapers/CVE-2025-11499'],,,,indicator,2025-09-01T00:00:00Z,"The object contains metadata related to a specific GitHub repository that has been identified as malicious. The repository in question is 'rootreapers/CVE-2025-11499' on GitHub.

This repository was found to be distributing Webrat malware, which is disguised as an exploit. 

The pattern associated with this repository is '[url:value = ""https://github.com/rootreapers/CVE-2025-11499""]', indicating that the URL of the malicious repository has been identified as a potential indicator.

No information is available on who created this object or when it was last modified, but it is known to be an 'indicator' type of metadata."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--ff68710e-045f-4ae4-a1bd-b9576e4d88c2,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: lagerhaker539/CVE-2025-12595-POC,[url:value = 'https://github.com/lagerhaker539/CVE-2025-12595-POC'],,,,indicator,2025-09-01T00:00:00Z,"The object contains metadata related to a malicious GitHub repository. The repository is identified by the name ""lagerhaker539/CVE-2025-12595-POC"" and is classified as a threat due to its association with Webrat malware.

The repository's description states that it is used to distribute malware disguised as an exploit. This suggests that the repository contains malicious code or links to compromised repositories, posing a potential security risk to users who interact with them.

The pattern associated with this repository matches URLs containing specific strings, indicating that the repository may contain links or references to compromised repositories or malicious software."
,,Hashes of files used in the React2Shell cryptojacking campaign.,,indicator--640b002e-1992-4068-963c-b1e8131f39f0,,"[""file-hash"", ""cryptojacking"", ""react2shell""]",,Malicious File Hashes - React2Shell Cryptojacking Campaign,[file:hashes.'SHA-256' = '4E628F3CF63563340D8BBCA977F2C6A631129A6B679D463A6690EC223EC2580A' OR file:hashes.'SHA-256' = 'D3A5AE68B714FE3F575E7F9AFFB65C66EE9E16849C28FA040BD66F553D0FF7B5' OR file:hashes.'SHA-256' = '75D25AD8CEDB8DB31F2B34B87B8EC67DBD1893DDBD0AC551A96E8834E9E181EE' OR file:hashes.'SHA-256' = '5EC5CB22734683121D6BD84D3C0BB7C8ED7B48F510BB1798B4DF4367907E7D22' OR file:hashes.'SHA-256' = 'E4E170691634D841E8976AE918D2DF223FEB359DB7F4B1C11A6669618BCE648D' OR file:hashes.'SHA-256' = 'D40E2061DE8AAA414A34CB989D7163493017F5189423F81F16A299EAFC7D5AA8' OR file:hashes.'SHA-256' = 'AE4991476ED082920E674457F4ECEB71367265F4D2150B89214ABCEB9EBF2407' OR file:hashes.'SHA-256' = '23EDED51DC1D8E053BB50249FBF36A2F57CF6F138626E33891E958E8C842FB71' OR file:hashes.'SHA-256' = '2530EBC8E77C784FFE628B3588739FF096A2AF4437656144983D1BA04B11538F' OR file:hashes.'SHA-256' = 'D2942D3B9B2E2DC98A34DC5A0D35C0FF7CB5AB419DFBA7B1FCA32FB6927732C4'],,,,indicator,,"The object contains a detailed description of an indicator, specifically a malicious file hash associated with the React2Shell cryptojacking campaign. The hash values are extracted from SHA-256 files using the 'file:hashes' pattern.

The indicator is identified by a unique identifier, but for simplicity, it will be referred to as 'Malicious File Hashes - React2Shell Cryptojacking Campaign'. This name accurately reflects the nature of the indicator, which consists of hashes of malicious files used in the React2Shell cryptojacking campaign.

The pattern associated with this indicator is a list of hash values that are considered malicious. The hashes are separated by logical OR operators, indicating that the presence of any one of these hashes within a file indicates potential malware activity.

The labels applied to this indicator include 'file-hash', 'cryptojacking', and 'react2shell', which provide context about the nature of the indicator. These labels can be useful for categorizing and filtering indicators in a threat intelligence system.

Overall, this indicator provides valuable information about malicious file hashes associated with the React2Shell cryptojacking campaign, making it an important component of a threat intelligence system focused on identifying and mitigating malware threats."
,,IP addresses contacted or used in the React2Shell cryptojacking campaign.,,indicator--ffa9de10-00bc-4632-aa0a-a436c3e3ee9e,,"[""ip-address"", ""cryptojacking"", ""react2shell""]",,Malicious IP Addresses - React2Shell Cryptojacking Campaign,[ipv4-addr:value = '154.89.152.168' OR ipv4-addr:value = '154.89.152.151' OR ipv4-addr:value = '154.89.152.170' OR ipv4-addr:value = '115.42.60.97' OR ipv4-addr:value = '115.42.60.126' OR ipv4-addr:value = '92.246.87.48' OR ipv4-addr:value = '45.144.55.111' OR ipv4-addr:value = '39.59.59.33' OR ipv4-addr:value = '23.27.143.210' OR ipv4-addr:value = '205.185.126.196' OR ipv4-addr:value = '178.63.67.153' OR ipv4-addr:value = '178.63.67.106' OR ipv4-addr:value = '149.248.44.88' OR ipv4-addr:value = '139.59.59.33' OR ipv4-addr:value = '128.199.194.97' OR ipv4-addr:value = '104.18.50.34' OR ipv4-addr:value = '64.79.148.161' OR ipv4-addr:value = '59.7.217.245' OR ipv4-addr:value = '37.114.37.94' OR ipv4-addr:value = '37.114.37.82'],,,,indicator,,"The object contains a detailed description of an indicator related to the React2Shell cryptojacking campaign. The indicator is identified by the unique identifier 'indicator--ffa9de10-00bc-4632-aa0a-a436c3e3ee9e'.

The indicator involves IP addresses that have been contacted or used in the campaign. Specifically, it includes a pattern of IP addresses that match certain values. This pattern is defined as follows:

""The object contains a list of 18 specific IPv4 addresses that are associated with the React2Shell cryptojacking campaign.""

These IP addresses include:

* 154.89.152.168
* 154.89.152.151
* 154.89.152.170
* 115.42.60.97
* 115.42.60.126
* 92.246.87.48
* 45.144.55.111
* 39.59.59.33
* 23.27.143.210
* 205.185.126.196
* 178.63.67.153
* 178.63.67.106
* 149.248.44.88
* 139.59.59.33
* 128.199.194.97
* 104.18.50.34
* 64.79.148.161
* 59.7.217.245
* 37.114.37.94
* 37.114.37.82

These IP addresses are grouped into a single pattern using the 'OR' operator, which means that any of these addresses will match if they have the specified value.

The indicator is classified as an ""indicator"" type and has no specific labels or descriptions beyond those provided by the object's metadata.

In summary, this object contains a list of IP addresses associated with the React2Shell cryptojacking campaign, grouped into a single pattern for easy identification."
,,Domains used in the React2Shell cryptojacking campaign.,,indicator--4d336454-acb2-4d86-a31e-88a505ff0bba,,"[""domain"", ""cryptojacking"", ""react2shell""]",,Malicious Domains - React2Shell Cryptojacking Campaign,[domain-name:value = 'pub-dc84e32afcfa417fa04d36454032549b.r2.dev' OR domain-name:value = 'kf.layuijs.top' OR domain-name:value = 'data-sugar-undefined-unsubscribe.trycloudflare.com' OR domain-name:value = 'commons-taylor-prayers-lunch.trycloudflare.com' OR domain-name:value = 'Clearskyspark.top' OR domain-name:value = 'Deepcloudspark.top' OR domain-name:value = 'Greenhillmatrix.top' OR domain-name:value = 'Silentmountcode.top' OR domain-name:value = 'meomeoli.mooo.com' OR domain-name:value = 'auto.c3pool.org' OR domain-name:value = 'mooo.com'],,,,indicator,,"The object contains a detailed description of a malicious domain indicator related to the React2Shell cryptojacking campaign. The domains listed are associated with this specific threat, indicating potential involvement in cryptocurrency mining or other malicious activities.

Here's a summary of the key information:

- Malicious Domains: The object includes multiple domain names that have been identified as part of the React2Shell cryptojacking campaign. These domains may be used to host malware, conduct phishing attacks, or engage in other types of cybercrime.
- Indicator Types: This indicator falls under the category of ""indicator,"" which suggests it is a piece of information used for threat detection and analysis.
- Labels: The domains are labeled as ""domain"", ""cryptojacking"", and ""react2shell,"" providing context for their potential malicious activities."
,,Persistence registry value created by LeakyStealer.,,indicator--0c0b8ad8-ddd8-426f-a535-be551ced22f5,,"[""persistence"", ""registry"", ""LeakyStealer""]",,EdgeUpdateCore Registry Value,[windows-registry-key:value = 'EdgeUpdateCore'],,,,indicator,,"The object contains a cybersecurity indicator that matches the description of an EdgeUpdateCore Registry Value created by LeakyStealer. The indicator is specifically tied to Windows registry keys and values, with a pattern of [windows-registry-key:value = 'EdgeUpdateCore'].

The metadata surrounding this indicator does not provide additional context beyond its creation and modification timestamps. It remains unclear who originally created the value or when it was last modified, as these details are currently set to non-applicable (nan) values.

The labels associated with the indicator specify that it falls under three categories: persistence, registry, and LeakyStealer."
,,C2 domain used by LeakyStealer.,,indicator--485c982b-7035-4d85-b513-9d545710db44,,"[""C2"", ""LeakyStealer""]",,LeakyStealer C2 Domain,[domain-name:value = 'everstead.group'],,,,indicator,,"The object contains a detailed summary of the provided data, excluding metadata fields. Here is the summary:

The object refers to an indicator entity related to a malicious domain used by LeakyStealer. Specifically, it describes C2 (Command and Control) domains, which are used for malicious communication between attackers and their compromised systems.

LeakyStealer is a known malware actor that has been associated with various malicious activities. The provided data indicates that this particular domain is being tracked as part of the investigation into LeakyStealer's operations.

The pattern associated with this domain is [domain-name:value = 'everstead.group'], suggesting that this domain may be used for communication between attackers and their systems, potentially facilitating malware deployment or command execution.

It is worth noting that this data does not provide any specific information on how to detect or mitigate the threat posed by LeakyStealer or its associated domains."
,,C2 IP address used by LeakyStealer.,,indicator--a0fea059-3a22-448e-88ad-c7bd88c422ae,,"[""C2"", ""LeakyStealer""]",,LeakyStealer C2 IP,[ipv4-addr:value = '45.151.62.120'],,,,indicator,,"The object contains a detailed description of an indicator related to cybersecurity, specifically an IP address associated with the malware ""LeakyStealer"". The description is as follows:

This IP address is identified as a C2 (Command and Control) IP used by LeakyStealer. It is also classified under the label ""C2"" and ""LeakyStealer"", indicating its connection to this specific malware. 

The pattern associated with this indicator is an IPv4 address, with the value being '45.151.62.120'. This suggests that the IP address in question is a potential target for network attacks or malicious activities related to LeakyStealer.

There appears to be no additional information about when the object was created or modified, as these fields are currently set to NaN (Not a Number), indicating missing or unknown data."
,,Secondary C2 domain associated with LeakyStealer.,,indicator--167df441-aecb-45af-a45b-898b1277b0af,,"[""C2"", ""LeakyStealer""]",,LeakyStealer C2 Domain,[domain-name:value = 'ip-ptr.tech'],,,,indicator,,"The object contains a cyber threat intelligence indicator for the LeakyStealer C2 domain. The indicator is classified as a secondary C2 domain associated with this malware.

Key details about the indicator include:

- The description indicates its specific association with LeakyStealer, emphasizing it as part of the latter's command and control (C2) infrastructure.
- The labels assigned to the indicator specify that it falls under categories of ""C2"" and ""LeakyStealer,"" suggesting its relevance in identifying or tracking this particular malware.
- The pattern used by this indicator is based on domain-name patterns, where a specific domain name (`ip-ptr.tech`) is associated with an IP pointer value. This suggests the indicator can help identify malicious domains linked to LeakyStealer.
- It is critical to note that the information provided does not include timestamps or other metadata due to their inclusion in the original data being ignored by this summary.

In essence, this indicator provides a tool for identifying potential C2 domains related to LeakyStealer malware activity, aiding in cybersecurity efforts to detect and block such malicious communications."
,,Domain distributing LeakyStealer installer.,,indicator--0d120af6-1944-4668-ad7e-142c1c1f7184,,"[""distribution"", ""LeakyStealer""]",,LeakyStealer Distribution Domain,[domain-name:value = 'paycnex.com'],,,,indicator,,"The object contains a detailed description of an indicator related to cybersecurity. It is identified as 'LeakyStealer Distribution Domain' and falls under the category of an 'indicator'. The information provided includes various metadata fields which are not relevant to the content of the indicator itself.

Key details about the LeakyStealer Distribution Domain include:

- The indicator is associated with a specific domain, 'paycnex.com', where it acts as a distribution point for the LeakyStealer malware installer.
- The label assigned to this indicator categorizes it under two main categories: 'distribution' and 'LeakyStealer'.
- This description does not specify when the creation or modification of the indicator occurred; both are marked as missing information (nan).
- There is no explicit pattern version associated with this description, which might indicate that some information regarding how this domain is used to distribute LeakyStealer has been filtered out from this particular description.

Overall, while specific details about its functionality and usage patterns in real-world scenarios are not provided, the indicator is noted for its connection to a malicious distribution mechanism linked to the LeakyStealer malware."
,,Observation of device configuration exports following exploitation of FortiCloud SSO vulnerabilities. Exported configurations may contain hashed credentials.,,indicator--c9bc649c-2c5e-43d8-85b9-92f0c872141a,,"[""configuration export"", ""Fortinet"", ""credential theft""]",,Export of Device Configuration Files,[file:name = 'config*' AND file:contains_hashes = true],,,,indicator,2025-12-19T00:00:00Z,"The object contains details about a security indicator related to device configuration exports. The indicator is named ""Export of Device Configuration Files"" and is associated with the exploitation of FortiCloud SSO vulnerabilities.

According to the information provided, the exported configurations may contain hashed credentials, which suggests that there has been an attempt to steal sensitive information from devices connected to FortiCloud SSO.

The pattern associated with this indicator is [file:name = 'config*' AND file:contains_hashes = true], which appears to search for files named ""config"" containing hashes. This pattern suggests that the indicator is designed to detect configuration export files that may contain stolen credentials.

There are no timestamps or metadata fields included in the object, which could make it difficult to understand when this information was last updated or created. However, it does provide a clear description of what the indicator detects and how it works.

Overall, the object appears to be a security indicator designed to help detect and alert on potential credential theft attempts related to FortiCloud SSO vulnerabilities."
