aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
"[""UNC6485""]",,2025-08-24T00:00:00Z,"Threat cluster tracked by Google Threat Intelligence Group (GTIG) responsible for exploiting CVE-2025-12480 and conducting post-exploitation activities including privilege escalation, defense evasion, and deployment of remote access utilities.",,,,intrusion-set--1eadb6d1-ad67-4c48-8b12-34760ac46cd1,,,2025-11-10T00:00:00Z,UNC6485,,,,,,,,,,intrusion-set,"The object contains information about a threat cluster tracked by Google's Threat Intelligence Group (GTIG). The cluster is named UNC6485 and is responsible for exploiting a specific vulnerability (CVE-2025-12480) to conduct various malicious activities.

This threat cluster is characterized by its ability to escalate privileges, evade defenses, and deploy remote access utilities. It appears to be a post-exploitation threat, indicating that it is designed to operate after an initial exploit has been successful.

The primary function of this threat cluster is unclear, with both primary and secondary motivations mentioned. However, the fact that it targets multiple regions suggests a high level of sophistication and reach.

In terms of its properties, the threat cluster does not specify any particular country of origin or external references for further information. Its labels are also missing, which may indicate a lack of specific categorization or classification.

Overall, this threat cluster represents a significant concern due to its potential to conduct malicious activities and evade detection."
"[""Lazarus"", ""APT38"", ""Hidden Cobra""]",,,"Lazarus Group is a North Korean government-aligned advanced persistent threat (APT) group known for cyberespionage, financial theft, and disruptive attacks. In October 2025, Lazarus targeted companies supplying UAV technology to Ukraine as part of the Operation DreamJob campaign, using the ScoringMathTea RAT.","[{""source_name"": ""ESET Research"", ""url"": ""https://www.welivesecurity.com/en/eset-research/gotta-fly-lazarus-targets-uav-sector/""}]",,"[""Espionage"", ""Theft of UAV technology know-how""]",intrusion-set--22077c0a-f82e-4dae-9446-6d13817e4fb5,,,,Lazarus Group,,espionage,,government,,,"[""financial gain""]",,,intrusion-set,"The object contains information about the Lazarus Group, a North Korean government-aligned advanced persistent threat (APT) group. The group is known for its involvement in various malicious activities, including cyberespionage, financial theft, and disruptive attacks.

Lazarus Group has been identified as having multiple aliases, including ""Lazarus"", ""APT38"", and ""Hidden Cobra"". However, its country of origin remains unknown, as indicated by the 'country' field being marked as nan (not a number).

The group's primary motivations are espionage and financial gain. According to external sources, such as ESET Research, Lazarus Group has targeted companies supplying UAV technology to Ukraine in an operation known as Operation DreamJob. This campaign utilized the ScoringMathTea RAT malware.

Lazarus Group's goals include espionage and theft of knowledge related to UAV technology. The group's activities have been associated with financial gain, although this is not explicitly stated as its primary motivation.

The object also contains information about Lazarus Group's methods and tactics. Its primary motivation for espionage has been identified as the desire to gather sensitive information, while financial gain is seen as a secondary benefit of certain operations.

It is worth noting that Lazarus Group operates at a government level, indicating its ties to the North Korean regime. However, further details about this affiliation are not provided in the object's metadata."
"[""Rattlesnake"", ""T-APT-04""]",,,"SideWinder is an APT group targeting South Asian governments, military, and tax agencies. The group uses phishing emails themed around tax refunds to deliver malware, leveraging techniques like DLL side-loading, Living-off-the-Land binaries, and cloud storage for payload delivery. Recent activity targeted Indian tax officials using fake tax department websites and multi-stage payloads.",,,"[""Espionage"", ""Data theft"", ""Targeting government, military, and tax organizations""]",intrusion-set--e4b31173-0eff-4e91-90a3-b607a923229f,,,,SideWinder,,espionage,,organization,,,,,,intrusion-set,"The object contains information about an APT (Advanced Persistent Threat) group known as SideWinder. This group is specifically targeting South Asian governments, military, and tax agencies.

SideWinder uses various tactics to deliver malware, including phishing emails themed around tax refunds, DLL side-loading, Living-off-the-Land binaries, and cloud storage for payload delivery. The group has been known to use fake tax department websites to trick their targets into divulging sensitive information.

The primary motivations of SideWinder are espionage, data theft, and targeting government, military, and tax organizations. They employ a multi-stage approach to deliver payloads, using various techniques to evade detection.

Some notable aspects of SideWinder's activities include:

- Targeting Indian tax officials with fake tax department websites
- Leveraging Living-off-the-Land binaries for payload delivery
- Using cloud storage to distribute malware

It is essential to note that SideWinder is considered an organization threat, and their primary motivation is espionage. However, the group also engages in data theft and targets government, military, and tax organizations as part of their operations."
"[""Fancy Bear""]",,,"APT28, also known as Fancy Bear, is a Russian state-sponsored threat group attributed to multiple cyber espionage campaigns. Lab52 attributed NotDoor campaigns to APT28.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/groups/G0007/"", ""external_id"": ""G0007""}]",,,intrusion-set--c72280a5-84c7-40da-b63f-3f86dc204519,"[""russian"", ""state-sponsored"", ""apt""]",,,APT28,[],,,,,,,,,intrusion-set,"The object contains information about an Advanced Persistent Threat (APT) group known as APT28, also referred to as Fancy Bear. This Russian state-sponsored threat group is associated with multiple cyber espionage campaigns.

APT28 has been linked to various operations, including the NotDoor campaign, which was attributed to them by Lab52. 

In terms of its attributes and characteristics, APT28 is described as a type of ""intrusion-set"", indicating that it represents a collection or set of tactics, techniques, and procedures (TTPs) used by the group for their malicious activities.

The object's labels include several key classifications: Russian, state-sponsored, and categorized under the ""apt"" designation, which likely stands for Advanced Persistent Threat."
,,,BO Team is a hacktivist group known for targeting Russian organizations and collaborating with other hacktivist clusters such as Ukrainian Cyber Alliance. BO Team is linked to the use of Tuoni and Cobalt Strike in attacks and is suspected of sharing tools and knowledge with Red Likho.,"[{""source_name"": ""Kaspersky"", ""url"": ""https://securelist.ru/tag/bo-team/""}]",,,intrusion-set--42974abf-7a95-4edc-9b7f-d1fa54f9bea2,"[""hacktivist"", ""collaboration"", ""APT""]",,,BO Team,,,,,,,,,,intrusion-set,"The object contains information about BO Team, a hacktivist group known for targeting Russian organizations. BO Team is notable for collaborating with other hacktivist clusters, such as the Ukrainian Cyber Alliance. The group's activities are linked to the use of specific tools, including Tuoni and Cobalt Strike, in attacks.

It is also suspected that BO Team shares tools and knowledge with another group, Red Likho. The group has been identified by Kaspersky, a cybersecurity firm, and its activities have been documented online.

BO Team's goals and motivations are not well understood, but it appears to be a key player in the cyber threat landscape, particularly in relation to Russia. However, more information is needed to fully understand the group's objectives and tactics."
"[""Static Kitten"", ""MERCURY""]",,,"MuddyWater is a suspected Iran-backed APT group active since at least early 2017. It primarily targets the Middle East, but also attacks Europe and North America, focusing on government, military, telecommunications, and oil industries. The group is known for phishing attacks using highly obfuscated techniques and custom malware payloads, including the UDPGangster and Phoenix backdoors.",,2017-01-01T00:00:00Z,"[""Espionage"", ""Data theft"", ""Long-term access""]",intrusion-set--79cea690-70be-4e26-a251-cc908f449271,,,,MuddyWater,,espionage,,government,,,,,,intrusion-set,"The object contains information about MuddyWater, a suspected Iran-backed Advanced Persistent Threat (APT) group. The group is active since at least early 2017 and primarily targets the Middle East, Europe, and North America, focusing on government, military, telecommunications, and oil industries.

MuddyWater is known for its sophisticated phishing attacks using highly obfuscated techniques and custom malware payloads, including the UDPGangster and Phoenix backdoors. The group's primary motivation is espionage, with secondary goals of data theft and long-term access.

The MuddyWater APT group uses a range of tactics, including phishing, custom malware, and other advanced techniques to achieve its objectives. Its targets include government agencies, military organizations, telecommunications companies, and oil industry entities.

The group's activities are focused on gaining long-term access to compromised networks, allowing for the theft of sensitive data and furthering the interests of Iran. MuddyWater's use of custom malware payloads and sophisticated phishing techniques makes it a highly effective and stealthy APT group.

Overall, MuddyWater is considered a significant threat to national security and cybersecurity, as its activities have far-reaching implications for governments, industries, and individuals worldwide."
"[""4BID""]",,,"4BID is a pro-Ukrainian hacktivist group active since early 2025. The group publicly claims attacks against Russian organizations in various sectors including manufacturing, healthcare, and government. 4BID operates mainly via Telegram and has demonstrated collaboration with other hacktivist groups such as BO Team and Red Likho.",,,"[""Disruption of Russian organizations"", ""Data encryption and destruction"", ""Public disclosure of compromised information""]",intrusion-set--c6dc22f0-66a4-4cfd-a2b5-c7b51a3532d4,,,,4BID,,Ideological,,,,Political,,,,intrusion-set,"The object contains information about a pro-Ukrainian hacktivist group called 4BID. The group is active since early 2025 and has been involved in attacks against Russian organizations in various sectors, including manufacturing, healthcare, and government.

4BID primarily operates via Telegram and has demonstrated collaboration with other hacktivist groups such as BO Team and Red Likho. The group's goals include disrupting Russian organizations, encrypting and destroying data, and publicly disclosing compromised information.

The primary motivation behind 4BID's actions is ideological, while their secondary motivation is political. This suggests that the group is driven by a desire to promote Ukrainian interests and challenge Russian influence.

It is worth noting that 4BID's aliases are listed as [""4BID""], but the country of origin is not specified. The group's activities have been ongoing since early 2025, but the exact start date is unknown."
"[""BO Team""]",,,BO Team is a hacktivist group known for large-scale operations against Russian targets. They are associated with the ZeronetKit backdoor and have used ransomware such as Babuk. BO Team has demonstrated collaboration with other hacktivist clusters.,,,,intrusion-set--83a2cb67-383b-4e4d-95d9-35704d9e0098,,,,BO Team,,,,,,,,,,intrusion-set,"The object contains information about BO Team, a hacktivist group known for conducting large-scale operations against Russian targets. They are associated with the ZeronetKit backdoor and have used ransomware such as Babuk. BO Team has also demonstrated collaboration with other hacktivist clusters.

BO Team's primary motivation is not explicitly stated, but they are considered to be driven by a desire to disrupt the activities of Russian targets. They have been involved in various operations targeting Russia, although no specific goals or objectives are provided.

The group's tactics and techniques are not fully disclosed, but it is known that they have used ransomware and other forms of cyber attacks. BO Team's methods are considered to be sophisticated, as evidenced by their association with the ZeronetKit backdoor.

BO Team has also been linked to other malicious activities, including collaboration with other hacktivist groups. This suggests that they may be part of a larger network of cyber actors with shared goals and objectives.

Overall, BO Team is considered to be a significant threat actor in the context of Russian-targeted cyber attacks, although more information would be needed to fully understand their motivations and methods."
"[""Red Likho""]",,,Red Likho is a hacktivist group known for large-scale operations against Russian targets and is associated with the GoRed backdoor. Red Likho has collaborated with other hacktivist groups such as 4BID and BO Team.,,,,intrusion-set--5cd406df-7087-4ed7-86f9-ce539239edf1,,,,Red Likho,,,,,,,,,,intrusion-set,"The object contains information about a hacktivist group known as Red Likho. 

Red Likho is associated with large-scale operations against Russian targets and has collaborated with other hacktivist groups like 4BID and BO Team. The group is also linked to the GoRed backdoor, indicating its involvement in sophisticated cyber activities.

The primary motivation behind Red Likho's actions appears to be largely unknown, but it does not seem to have any specific or clear stated goals. Instead, the nature of their objectives seems to be somewhat ambiguous.

Red Likho operates primarily against Russian targets, with information on other regions being unobtainable. Despite this, the full extent and scale of Red Likho's activities remain unclear due to lack of detailed information available."
"[""Quilin""]",,,"Qilin is one of the more aggressive cartels in the ransomware space in 2025, with a very active dark web presence and is considered one of the more lucrative criminal cartels.","[{""source_name"": ""Talos Blog"", ""url"": ""https://blog.talosintelligence.com/uncovering-qilin-attack-methods-exposed-through-multiple-cases/""}]",,,intrusion-set--7bd79330-8304-461e-8ec5-1d813672cd1e,"[""ransomware"", ""criminal cartel""]",,,Qilin,,,,,,,,,,intrusion-set,"The object contains information about Qilin, a ransomware threat actor. Qilin is considered one of the more aggressive cartels in the ransomware space in 2025, boasting a very active dark web presence and being viewed as lucrative criminal cartel. According to external references, Talos Blog provides insight into Qilin's attack methods through multiple cases, further solidifying its position as a significant threat actor in this field."
,,,"UAT-9686 actively targets Cisco Secure Email Gateway and Secure Email and Web Manager appliances, primarily those with non-standard configurations.","[{""source_name"": ""Cisco Security Advisory"", ""url"": ""https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sma-attack-N9bf4""}]",,,intrusion-set--2547b7cd-443f-4511-bb30-2359094e115d,"[""intrusion-set"", ""targeting Cisco""]",,,UAT-9686,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, specifically UAT-9686. This entity actively targets Cisco Secure Email Gateway and Secure Email and Web Manager appliances, primarily those with non-standard configurations.

Key details about the threat actor include:

- The primary motivation of this threat actor is not explicitly stated.
- There are no known secondary motivations or types of threat actors associated with UAT-9686.

The threat set was first mentioned in a Cisco Security Advisory document available at https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sma-attack-N9bf4"
"[""CL-UNK-1054""]",,,"Unit 42 tracks the LANDFALL Android spyware activity as CL-UNK-1054. The campaign shares infrastructure and tradecraft patterns with commercial spyware operations associated with private sector offensive actors (PSOAs), with possible links to Stealth Falcon and the Variston spyware framework.","[{""source_name"": ""Unit 42"", ""url"": ""https://unit42.paloaltonetworks.com/landfall-is-new-commercial-grade-android-spyware/""}]",,,intrusion-set--4e5c3c3d-968c-42b0-aa3b-6439a8e97992,,,,CL-UNK-1054,,,,,,,,,,intrusion-set,"The object contains information about an Android spyware campaign tracked by Unit 42. The campaign, identified as CL-UNK-1054, is associated with commercial spyware operations linked to private sector offensive actors (PSOAs). 

It shares infrastructure and tradecraft patterns with other malicious campaigns, raising concerns about possible connections to Stealth Falcon and the Variston spyware framework."
"[""BadIIS""]",,,"An evolving IIS hijacking campaign abusing SEO for fraud and monetization. Operators compromise IIS servers to deploy malicious modules, conduct SEO poisoning, redirect users to gambling sites, and monetize traffic. The campaign uses Chinese red-team tools and targets high-profile sites, predominantly in Vietnam, Latin America, and Asia.","[{""source_name"": ""WithSecure STINGR"", ""url"": ""https://www.enable-javascript.com/""}]",,"[""SEO poisoning"", ""fraud"", ""monetization"", ""traffic redirection"", ""concealment""]",intrusion-set--4ef38d0f-eda5-4eee-a110-ec8dd88e3ddb,,,,WEBJACK,,financial,,organization,,,"[""fraud""]",,,intrusion-set,"The object contains information about an evolving cyber threat campaign known as WEBJACK. Here is a detailed summary of the data:

The WEBJACK campaign is an IIS hijacking operation that leverages search engine optimization (SEO) tactics for fraudulent and monetization purposes. The attackers compromise IIS servers to deploy malicious modules, conduct SEO poisoning, redirect users to gambling sites, and generate revenue from traffic.

The campaign utilizes Chinese red-team tools and primarily targets high-profile websites in Vietnam, Latin America, and Asia. WEBJACK is a financially motivated threat actor that employs tactics such as SEO poisoning, fraud, monetization, traffic redirection, and concealment.

The campaign's goals include SEO poisoning, fraud, monetization, traffic redirection, and concealment, with financial gain being the primary motivation. WEBJACK operates at an organizational level and is categorized as an intrusion set threat.

Key characteristics of the WEBJACK campaign include its use of Chinese red-team tools and targeting of high-profile sites in specific regions. The campaign's tactics are designed to exploit vulnerabilities in IIS servers, allowing attackers to deploy malicious modules and conduct SEO poisoning."
