aliases,created,created_by_ref,description,external_references,id,kill_chain_phases,labels,modified,name,sample_refs,spec_version,tool_types,type,summary
,,,"wget is a command-line utility for downloading files from the web. In this campaign, it was renamed to 'wgat' for evasion.",,tool--b17cc877-56bd-4336-bad5-ad7a5d0d5e52,,"[""data-transfer"", ""evasion"", ""tool-rename""]",,wget,,,,tool,"The object contains information about a tool called ""wget"", which is described as a command-line utility for downloading files from the web. It was originally named ""wget"" but was later renamed to ""wgat"" as part of an evasion campaign.

The tool's labels include three categories: data-transfer, evasion, and tool-rename. This suggests that the renaming of wget to wgat is likely related to a malicious or evasive purpose.

Overall, the object provides a brief summary of wget's functionality and its modified name, but does not provide any additional context or details about its usage or potential applications."
,,,iptables is a Linux utility for configuring network packet filtering rules. Attackers used it to accept all connections and then flush all rules for evasion and disabling host firewalls.,,tool--8b0eb3f2-2c8c-4e6a-9faa-74c4f2318577,,"[""firewall"", ""defense-evasion""]",,iptables,,,,tool,"The object contains information about the iptables tool, which is a Linux utility used for configuring network packet filtering rules. The tool was used by attackers to bypass security measures, specifically by accepting all connections and then flushing all existing rules as an evasion tactic to disable host firewalls.

Further details about the iptables tool are not available in this data summary, as most of the fields appear to be empty or contain null values (represented by 'nan'). The relevant information includes the description of the tool's use case, its labels for categorization, and a unique identifier for the specific instance being described."
,,,UFW is a user-friendly interface for managing firewall rules on Linux. Attackers disabled UFW as part of their evasion tactics.,,tool--460bda6f-3c20-4b36-9ba0-69cccb87d983,,"[""firewall"", ""defense-evasion""]",,UFW (Uncomplicated Firewall),,,,tool,"The object contains information about a tool called UFW (Uncomplicated Firewall), which is described as a user-friendly interface for managing firewall rules on Linux. This tool was created to make it easier for users to manage their firewalls, but attackers have used it as an evasion tactic by disabling it.

UFW is categorized under the labels ""firewall"" and ""defense-evasion"", indicating its relevance to both security measures and tactics used by attackers to evade detection."
,,,"Alibaba's Threat Detection Software (TDS, previously known as Aliyun) was specifically targeted for removal by attackers, who downloaded uninstall files and blocked associated IP addresses.",,tool--5d95ddb1-9e53-46d9-bc36-a9c1051c8528,,"[""defense-evasion"", ""security-software-target""]",,Aliyun Threat Detection Software,,,,tool,"The object contains a summary of the Alibaba's Threat Detection Software (TDS) tool. 

TDS, also known as Aliyun, is a threat detection software specifically targeted by attackers for removal. The attackers used uninstall files and blocked associated IP addresses to delete and disable the software.

This particular tool was identified in relation to defense-evasion tactics and security software targets."
,2026-01-17T16:25:34.845990Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors exploit vulnerabilities and misconfigurations in SimpleHelp, a legitimate remote monitoring and management (RMM) tool, to gain initial access, establish persistence, and perform lateral movement by redirecting RMM agents to attacker-controlled servers.",,tool--9742c6fe-8ffb-df63-7e88-3229c6655528,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:34.845990Z,SimpleHelp,,2.1,"[""remote-access"", ""exploitation""]",tool,"The object contains information about a tool used for exploitation purposes. The tool is called SimpleHelp, which is a legitimate remote monitoring and management (RMM) tool that was exploited by Medusa actors.

These actors took advantage of vulnerabilities and misconfigurations in SimpleHelp to gain initial access to the system, establish persistence, and perform lateral movement. They achieved this by redirecting RMM agents to attacker-controlled servers.

The tool is categorized as a remote-access tool and an exploitation tool, indicating its capability to facilitate unauthorized access and exploit security weaknesses in systems."
,2026-01-17T16:25:34.846071Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"JWrapper, a legitimate Java application packaging and distribution tool, is observed in Medusa ransomware attacks making unusual external HTTP connections, likely used to facilitate cross-platform payload delivery and management of malicious executables.",,tool--46da6933-57a9-a6ea-3a17-1b8281ea8628,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T16:25:34.846071Z,JWrapper,,2.1,"[""remote-access"", ""execution""]",tool,"The object contains a detailed description of the JWrapper tool, which is associated with Medusa ransomware attacks. The tool is a legitimate Java application packaging and distribution tool that makes unusual external HTTP connections to facilitate cross-platform payload delivery and management of malicious executables.

It appears that JWrapper was identified in the context of these ransomware attacks as having made external HTTP connections, which suggests that it may be involved in some way with the distribution or execution of the malware. However, it's worth noting that the tool itself is described as legitimate and not inherently malicious.

The object also lists the kill chain phase associated with JWrapper, which is identified as a command-and-control (C2) phase. This suggests that JWrapper may be used by attackers to establish communication with their command and control servers or other infrastructure.

In terms of its classification, JWrapper is categorized as a tool for remote access and execution, indicating that it provides a means for users to remotely interact with systems or execute malicious code on those systems.

Overall, the object provides a detailed description of JWrapper and its potential role in ransomware attacks, highlighting its unusual behavior and its association with command-and-control phases."
,2026-01-17T16:25:34.846121Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Atera, a legitimate RMM platform, is abused by Medusa actors for remote access and control over compromised systems, enabling persistence and facilitating further malicious activities within victim environments.",,tool--cb018b85-29b4-6472-3bcf-6cf2460a8a00,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T16:25:34.846121Z,Atera,,2.1,"[""remote-access""]",tool,"The object contains information about a malicious tool called Atera. Atera is a legitimate Remote Monitoring Management (RMM) platform that has been abused by Medusa actors to gain remote access and control over compromised systems.

Atera's abuse enables persistence on the infected systems, allowing the attackers to maintain their foothold and facilitate further malicious activities within the victim environment. The tool's name seems contradictory, as it is a legitimate RMM platform being used for nefarious purposes.

The data provides details about Atera's characteristics, including its type (""tool""), tool types associated with it (""remote-access""), and the kill chain phases involved in its attacks, specifically ""persistence"" from the MITRE-Attack framework."
,2026-01-17T16:25:34.846170Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors exploit vulnerabilities in ConnectWise ScreenConnect, a legitimate RMM tool, to gain unauthorized access to victim infrastructure and deploy ransomware payloads.",,tool--9ff5d71e-3dc5-daea-f1cc-571838b44274,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:34.846170Z,ConnectWise ScreenConnect,,2.1,"[""remote-access"", ""exploitation""]",tool,"The object contains information about a specific tool, ConnectWise ScreenConnect. This tool is categorized under remote-access and exploitation tools. It appears that the primary method of attack for this tool is through exploiting vulnerabilities in ConnectWise ScreenConnect itself, which is a legitimate Remote Monitoring and Management (RMM) tool.

The attackers use these exploits to gain unauthorized access to victim infrastructure before deploying ransomware payloads. This indicates that the primary intention behind using ConnectWise ScreenConnect as a tool for malicious purposes lies in its ability to grant remote access and potentially facilitate exploitation of vulnerabilities within an organization's network.

The provided details offer insight into how such tools can be repurposed by attackers, highlighting the importance of keeping software up-to-date and being vigilant about potential security breaches."
,2026-01-17T16:25:34.846216Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors exploit vulnerabilities in GoAnywhere MFT, a legitimate managed file transfer solution, to gain initial access and move laterally within victim networks.",,tool--c682e3b7-c356-4a91-cb4b-e18e1f3e04b3,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:34.846216Z,GoAnywhere MFT,,2.1,"[""exploitation""]",tool,"The object contains information about a vulnerability exploit. It is related to GoAnywhere MFT, a legitimate managed file transfer solution. The attackers use vulnerabilities in this system to gain initial access to victim networks and then move laterally within these networks.

This threat falls under the category of exploitation, specifically targeting exploits rather than other types of tools."
,2026-01-17T16:25:34.846262Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors exploit vulnerabilities in Microsoft Exchange Server, a legitimate email and collaboration platform, to gain initial access and potentially escalate privileges within target organizations.",,tool--1a56db45-0fb5-b457-e47e-d3afdc79be62,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:34.846262Z,Microsoft Exchange Server,,2.1,"[""exploitation""]",tool,"The object contains information about a vulnerability tool related to Microsoft Exchange Server. The tool is used by Medusa actors to exploit vulnerabilities in the server, gaining initial access and potentially escalating privileges within target organizations.

Medusa actors are using Microsoft Exchange Server as a legitimate platform to gain an upper hand. The exact method of exploitation is not specified, but it's clear that this vulnerability tool is being utilized to compromise organizations."
,2026-01-17T16:25:34.846306Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors exploit vulnerabilities in Fortinet EMS, a legitimate enterprise security management platform, to gain unauthorized access and facilitate further compromise within victim environments.",,tool--04056aae-5a2f-505d-6541-b49ff06fbbd3,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:34.846306Z,Fortinet Enterprise Management Server (EMS),,2.1,"[""exploitation""]",tool,"The object contains information about a security vulnerability tool called Fortinet Enterprise Management Server (EMS). The tool was discovered on January 17th, 2026, and is an exploit for unauthorized access to legitimate enterprise security management platforms. 

EMS allows attackers to gain entry into victim environments by exploiting vulnerabilities in the platform. This vulnerability can then be used as a starting point for further compromise within the affected environment. 

The information provided also includes details about the tool's metadata, such as its type and labels, as well as external references. However, these fields are not included in this summary as they do not provide additional insight into the exploit itself."
,,,Tool for researchers and users to check whether Bluetooth devices are vulnerable to RACE protocol attacks.,,tool--acfa9f71-2ca7-48a2-804f-defedcb98b78,,"[""bluetooth"", ""race-protocol""]",,RACE Toolkit,,,"[""vulnerability scanner""]",tool,"The object contains information about a tool for researchers and users to check the vulnerability of Bluetooth devices to RACE protocol attacks. The tool is called the RACE Toolkit.

This tool seems to be designed specifically for identifying vulnerabilities in Bluetooth devices related to the RACE protocol, which is a potential attack vector. The fact that it is classified as a ""vulnerability scanner"" suggests that its primary function is to scan devices and detect any vulnerabilities.

The labels associated with this tool are ""bluetooth"" and ""race-protocol"", indicating its focus on Bluetooth devices and RACE protocol attacks."
,,,Tool to unpack Airoha firmware update files (FOTA images).,,tool--05d79b49-0380-4e67-b119-aa37ed262db9,,"[""bluetooth"", ""firmware""]",,airoha-firmware-parser,,,"[""firmware analysis""]",tool,"The object contains information about a tool named ""airoha-firmware-parser"". This tool is specifically designed to unpack Airoha firmware update files, also known as FOTA images. The purpose of this tool is to facilitate the analysis and handling of these firmware updates.

Some key characteristics of the tool include its labels, which categorize it under two main categories: Bluetooth and Firmware. These labels suggest that the tool is closely related to the management and processing of Bluetooth-related firmware updates.

Furthermore, the tool is classified as a type of ""firmware analysis"" tool, indicating that its primary function is to analyze and process firmware-related data. 

Overall, the object provides detailed information about the ""airoha-firmware-parser"" tool, showcasing its focus on handling Airoha firmware updates."
,,,"A tool or script used to craft and send manipulated SAML messages to exploit the FortiCloud SSO vulnerabilities in Fortinet products, bypassing authentication.","[{""source_name"": ""Arctic Wolf Security Bulletin"", ""url"": ""https://arcticwolf.com/resources/blog/arctic-wolf-observes-malicious-sso-logins-%20following-disclosure-cve-2025-59718-cve-2025-59719/""}]",tool--dfb7f65e-c06a-4ae5-88e0-1c88e9fc5a00,,"[""exploit"", ""SAML"", ""authentication bypass"", ""Fortinet""]",,FortiCloud SSO Exploit Tool,,,,tool,"The object contains information about a specific security vulnerability exploit tool. 

The tool is known as the FortiCloud SSO Exploit Tool. It is used to craft and send manipulated SAML messages to exploit weaknesses in Fortinet products' FortiCloud Single Sign-On (SSO) systems, thereby bypassing authentication mechanisms.

This tool is categorized under exploitation techniques and falls under the labels of ""exploit"", ""SAML"", ""authentication bypass"", and ""Fortinet"". 

Additionally, it has been documented by Arctic Wolf Security, who observed malicious SSO logins following a disclosure regarding CVE-2025-59718 and CVE-2025-59719. 

This exploit tool is relevant to security analysts, researchers, and professionals working on threat detection and incident response due to its capabilities to manipulate authentication mechanisms in Fortinet products' FortiCloud systems."
,2026-01-17T20:52:28.591162Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Used to deploy backdoors on compromised MS-SQL servers, enabling attackers to gain remote control and execute commands post-exploitation.",,tool--d10440fb-0e62-3537-56f5-aa7e3d3d443f,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:52:28.591162Z,Cobalt Strike,,2.1,"[""remote-access"", ""exploitation"", ""command-and-control""]",tool,"The object contains information about a threat tool called Cobalt Strike. It is used to deploy backdoors on compromised MS-SQL servers, allowing attackers to gain remote control and execute commands post-exploitation. The tool is categorized under three types of threats: remote-access, exploitation, and command-and-control.

Cobalt Strike has been associated with the development of Mitre-Attack's command-and-control phase. This indicates that the tool is commonly used by attackers in this specific phase of a cyberattack.

The object does not provide any additional information about the creators or users of Cobalt Strike, nor does it mention any external references to other threat tools or sources."
,2026-01-17T20:52:28.591250Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Installed as a backdoor to provide attackers with interactive control over infected servers, allowing further exploitation and lateral movement.",,tool--2b0ea882-cf9c-918a-9610-d71354fe5166,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:52:28.591250Z,Meterpreter,,2.1,"[""remote-access"", ""exploitation"", ""command-and-control""]",tool,"The object contains information about the Meterpreter tool, a type of backdoor used to provide attackers with interactive control over infected servers. This tool allows for further exploitation and lateral movement.

Meterpreter is classified under three categories: remote-access, exploitation, and command-and-control. It was installed as a backdoor on a specific server, enabling attackers to gain interaction with the infected system.

The tool's kill chain phases include only one phase, ""command-and-control,"" which suggests that its primary purpose is to establish communication between the attacker and the compromised server.

It is worth noting that Meterpreter has a well-documented history of being used by attackers to breach security systems."
,2026-01-17T20:52:28.591307Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Abused to establish persistent remote access to compromised servers by installing the legitimate remote desktop software silently.,,tool--d3ec00d1-2fc8-e67d-8022-63dc9e85639a,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591307Z,AnyDesk,,2.1,"[""remote-access"", ""persistence""]",tool,"The object contains information about a tool called AnyDesk, which is used to establish persistent remote access to compromised servers. This is achieved by installing the legitimate remote desktop software silently. The purpose of this tool seems to be malicious, as it is being abused to compromise servers.

AnyDesk appears to be a type of ""persistence"" tool, indicating that its primary function is to maintain a persistent connection to the compromised server. It also falls under the category of ""remote-access"" tools, suggesting that it enables remote control and management of the compromised server.

The provided metadata, including creation and modification timestamps, do not appear to add any significant value to our understanding of the tool's functionality or purpose. However, the description of its intended use is clear: it allows attackers to establish persistent access to compromised servers using legitimate remote desktop software."
,2026-01-17T20:52:28.591358Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Used as a legitimate remote desktop tool to maintain unauthorized access to infected systems.,,tool--70f4c86e-9585-6322-5d1d-807c6069374b,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591358Z,RustDesk,,2.1,"[""remote-access"", ""persistence""]",tool,"The object contains information about a tool called RustDesk. It is described as a legitimate remote desktop tool that is used to maintain unauthorized access to infected systems. 

RustDesk falls under the category of tools that are used for remote-access and persistence. The kill chain phase associated with it is ""persistence,"" indicating its ability to persist in the compromised system.

The tool was created on January 17, 2026, by a user whose identity reference is not available."
,2026-01-17T20:52:28.591407Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Installed as a remote monitoring and management (RMM) tool to provide attackers with ongoing surveillance and control over compromised hosts.,,tool--078e9bc0-8552-0b5a-7e45-7bb0763e6a67,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591407Z,Teramind,,2.1,"[""remote-access"", ""information-gathering"", ""persistence""]",tool,"The object contains information about a Malware Tool, specifically Teramind. It was installed as a remote monitoring and management (RMM) tool to provide attackers with ongoing surveillance and control over compromised hosts.

Teramind is used for persistence, allowing it to remain on the infected system for an extended period. This makes it a significant threat to the security of compromised systems.

The tool falls under three categories: remote-access, information-gathering, and persistence. It is classified as a type of malware that can gather information about the target system without being detected.

Teramind is linked to the kill chain phase ""persistence"" in the MITRE attack framework, indicating its role in maintaining its presence on the infected system over time."
,2026-01-17T20:52:28.591456Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Used to execute commands and download malicious payloads (e.g., via Invoke-WebRequest) on compromised servers.",,tool--2f2d399f-0ea8-8448-59fe-5514b304733b,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591456Z,PowerShell,,2.1,"[""execution"", ""information-gathering"", ""download""]",tool,"The object contains a detailed description of the 'PowerShell' tool, which is used to execute commands and download malicious payloads on compromised servers. 

It appears that PowerShell has been utilized for various malicious activities, including Invoke-WebRequest attacks, which are exploited to compromise servers. The tool's functionality can be categorized into three main types: execution, information-gathering, and downloading of malware payloads.

According to the provided metadata, the 'PowerShell' tool was created on January 17, 2026, and has undergone several modifications since its creation."
,2026-01-17T20:52:28.591503Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Abused to extract malicious binaries stored in SQL tables and write them as executable files on the local system.,,tool--22df3ece-0c89-cb42-339b-12b7537bcca9,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591503Z,BCP (Bulk Copy Program),,2.1,"[""execution"", ""exploitation"", ""resource-development""]",tool,"The object contains a tool named BCP (Bulk Copy Program) that has been identified for its malicious activities. The tool is described as being used to extract harmful binaries stored in SQL tables and write them as executable files on the local system.

The tool's attributes include:

- It belongs to multiple categories, including execution, exploitation, and resource development.
- Its primary function involves writing executable files containing malicious code extracted from SQL tables.
- The tool has been associated with the ""mitre-attack"" kill chain phase, indicating that its execution can lead to further attacks.

Overall, BCP (Bulk Copy Program) appears to be a malicious tool designed to facilitate the extraction and deployment of harmful code on a local system."
,2026-01-17T20:52:28.591562Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Used to download malicious executables from remote servers to the infected host.,,tool--f6e57c9d-e709-e45f-eb0d-955351f53548,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591562Z,curl,,2.1,"[""download"", ""information-gathering""]",tool,"The object contains information about a cyber threat tool known as ""curl"". The tool is used to download malicious executables from remote servers onto an infected host. It falls under two categories of tool types: download and information-gathering."
