display_name,id,type,value,summary
,email-addr--e85b47e9-c687-4afd-a2e6-3e0b6922a6bc,email-addr,cert@cert.org,The object contains a single data point for an email address. The email address is identified by the value 'cert@cert.org'.
,email-addr--3d41af14-7995-446a-8fcc-00fb38583273,email-addr,terra.com.br,"The object contains a dictionary representing an email address. The dictionary has the following structure:

* display_name: empty (represented by NaN)
* type: email address
* value: terra.com.br

This indicates that the object is storing an email address as its primary attribute, and it does not have any additional information about the owner of the email address, such as their name."
,email-addr--07aab53d-7421-4381-80ee-6248c24dad96,email-addr,uhjdclolkdn@gmail.com,"The object contains an email address record. The value of this record is 'uhjdclolkdn@gmail.com'. This appears to be a unique identifier for the record, but its purpose is unclear."
,email-addr--92ede8ba-0c71-40e8-96af-4b28425aed26,email-addr,spoofed-internal@domain.com,"The object contains an email address record. The email address itself is spoofed-internal@domain.com, indicating that it is not a legitimate or external email address but rather appears to be an internal email address. The exact domain and intent behind this email address are unclear due to the lack of information about the 'display_name' field."
,email-addr--da2e3371-21d5-4e82-bb7d-cfb863e447cd,email-addr,spoofed-finance@domain.com,"The object contains an email address record. The display name is not provided, but the email address itself is spoofed as ""spoofed-finance"" followed by ""@domain.com"". This suggests that the email address may be used for fraudulent or deceptive purposes, such as phishing or spamming. The actual domain of the email address is also provided, but it appears to be fictional and not a real internet domain."
Victim (extortion note recipient),email-addr--05869ef5-ecb3-4dfd-a8ae-9d47f23fc433,email-addr,,"The object contains a single entry representing an email address. The email address belongs to a victim who received an extortion note. Unfortunately, the specific details about the content of the email are not provided."
,email-addr--933b9118-37cb-4960-94ed-215ffc30f325,email-addr,[redacted]@proton.me,"The object contains an email address with a unique identifier. The display name is not provided as it is marked as 'nan'. 

The email address itself is '[redacted]@proton.me' where the actual content has been removed for privacy reasons."
,email-addr--3fa414d8-8062-46aa-a851-1637923fc379,email-addr,pomocit01@kanzensei.top,"The object contains an email address. The email address is 'pomocit01@kanzensei.top'. This appears to be a unique identifier for the email address, but its specific purpose is not specified."
,email-addr--4ccf3068-5163-4f9f-a44d-444f1b2fc65b,email-addr,pomocit01@surakshaguardian.com,"The object contains an email address field with a unique identifier. The value of this field is 'pomocit01@surakshaguardian.com'. This appears to be a legitimate email address, possibly used for security or authentication purposes."
,email-addr--76024f03-ac34-42dc-8d11-c229843b680e,email-addr,ithelp01@securitymy.name,"The object contains an email address that matches the format of an email address. The display name is not provided, but it appears to be missing due to a Not-a-Number (NaN) value. The email address itself is 'ithelp01@securitymy.name' and its type is classified as an email address."
,email-addr--78feedb1-f300-4431-88fd-9e302be11e56,email-addr,ithelp01@yousheltered.com,"The object contains a single data entry with the following characteristics:

It is an email address, identified by its unique type and value. The specific details of this entry are that it has a 'display_name' field with no information provided (as indicated by the 'nan' notation), and a unique identifier associated with it.

If we were to extract just the relevant information without the metadata fields, we would say that the object contains an email address with the value ithelp01@yousheltered.com."
