id,name,package_name,type,summary
android-app--6b53a503-ed38-4827-b8ba-a76e42f09bf1,Vietin Bank,com.vietinbank.ipay,android-app,"The object contains information about an Android app, specifically Vietin Bank. The app's package name is com.vietinbank.ipay, which indicates that it belongs to the Vietin Bank company. This app has been identified as a type of Android application."
android-app--41633634-7f5a-4a8a-90e4-7666bc59f86e,VPBank NEO,com.vnpay.vpbankonline,android-app,"The object contains information about a mobile application named VPBank NEO. The application's package name is com.vnpay.vpbankonline, indicating that it was developed for Android devices. It belongs to the type of android-app."
android-app--c8cb4bba-37a1-4886-b2d2-e17c61a2220b,CAKE BANK,xyz.be.cake,android-app,"The object contains information about an Android application named CAKE BANK. The package name associated with this application is xyz.be.cake, indicating that it belongs to a specific software development project."
android-app--2a5326bc-7249-4568-8bda-016f8c7df4e9,zalopay,vn.com.vng.zalopay,android-app,"The object contains information about a specific Android app called ZaloPay. The package name of the app is vn.com.vng.zalopay, indicating that it belongs to the VNG company. Additionally, the type of this app is an android-app."
android-app--780df4f4-92a9-4641-8e7d-ee7a2ca9e75a,ACB ONE,mobile.acb.com.vn,android-app,The object contains information about an Android application named ACB ONE. The package name of the application is mobile.acb.com.vn. It can be identified by its unique identifier as android-app--780df4f4-92a9-4641-8e7d-ee7a2ca9e75a.
android-app--f29d9250-7d33-4a60-ba10-b062514968c3,Agribank,com.vnpay.Agribank3g,android-app,"The object contains information about an Android application named Agribank. The package name of the app is com.vnpay.Agribank3g, indicating that it belongs to a company or organization named Vnpay and has the specific sub-packaging as Agribank3g. This app falls under the category of android-apps."
android-app--e5792abd-43e2-4ba3-8172-4a85a6cc1eb7,Smart Banking,com.vnpay.bidv,android-app,"The object contains information about a mobile application called ""Smart Banking"". The app is associated with the package name ""com.vnpay.bidv"" and its type is categorized as an android-app."
android-app--98f475b8-fc83-4bd1-b2e2-103d2ea7b805,MB Bank,com.mbmobile,android-app,"The object contains information about an Android application. 

The name of the application is MB Bank.

The package name associated with this application is com.mbmobile.

This application falls under the category of android-apps."
android-app--1bf8bbed-3fb6-4455-a2a9-bf6da36fa3fe,chrome,com.android.chrome,android-app,"The object contains information about an Android application. The application's name is Chrome, and its package name is com.android.chrome. It can be classified as a type of android-app."
android-app--265e9325-879e-4c9e-b2d0-31b96daa8fd9,Sacombank mBanking,src.com.sacombank,android-app,"The object contains a mobile application named Sacombank mBanking. It belongs to the Android platform, indicated by its package name src.com.sacombank, and is classified as an android-app type of software."
android-app--7a2def1d-2d9b-4179-af46-91bafe9b1efe,Namabank,ops.namabank.com.vn,android-app,"The object contains information about a mobile application called Namabank. The app is identified by the package name 'ops.namabank.com.vn'. It belongs to a specific type, which is categorized as an android-app."
android-app--efc869b5-36ef-44d9-9ef4-dfd4a6771c05,UCMobile,com.UCMobile.intl,android-app,The object contains information about an Android application named UCMobile. The package name associated with this app is com.UCMobile.intl. It is categorized as an android-app.
android-app--3e20bf21-f93a-497b-8d93-1716132e76f2,Maybank,com.maybank2u.life,android-app,"The object contains information about an Android application. Maybank is the name of the application, belonging to the package com.maybank2u.life. This application has a type classification of android-app."
android-app--6a0b63ae-8ae6-4091-8028-7ec103f5994b,Hong Leong,my.com.hongleongconnect.mobileconnect,android-app,"The object contains information about a mobile application named Hong Leong. The application is categorized as an Android app, denoted by its package name my.com.hongleongconnect.mobileconnect. This suggests that the application was developed for Android devices and is associated with the Hong Leong brand."
android-app--b03a6135-a1eb-4777-9cb9-03a836fac341,Public Bank,com.engage.pbb.pbengage2my.release,android-app,"The object contains information about a mobile application named ""Public Bank"" for Android devices. The application's package name is ""com.engage.pbb.pbengage2my.release"". It belongs to the type of android-app."
android-app--1717935f-43ba-4a62-b810-5919a7762e28,CimB Bank,my.com.cimb.ngb,android-app,The object contains information about an Android application. The application is named CimB Bank and is packaged under the name my.com.cimb.ngb. It belongs to a specific type of application.
android-app--23791b1d-b2a3-4c4b-a13c-f7d72726adcd,RHB Bank,com.rhbgroup.rhbmobilebanking,android-app,The object contains information about a mobile banking app for RHB Bank. The app is named RHB Bank and has the package name com.rhbgroup.rhbmobilebanking. It belongs to the android-app type.
android-app--7b4a22a0-400f-4c5b-90f6-dd7c73a82199,Ambank Bank,com.ambank.ambankonline,android-app,"The object contains information about an Android application, specifically Ambank Bank's mobile app. The package name of the app is com.ambank.ambankonline. This suggests that the app is related to banking services provided by Ambank Bank. Additionally, the type of the object is identified as 'android-app', indicating that it is a mobile application developed for Android devices."
android-app--4ec372c5-1fdc-422f-9667-2fe1b479ee5b,BSN Bank,com.bsn.mybsn,android-app,The object contains information about a specific Android application. The application is named BSN Bank and has the package name com.bsn.mybsn. It is categorized as an Android app.
android-app--1246bd74-e441-449a-8f10-2694480484d0,Affin Bank,com.affin.AffinMobileBanking,android-app,"The object contains information about a specific Android app, which is Affin Bank. The package name of this app is com.affin.AffinMobileBanking. It is classified as an android-app type of application."
android-app--e0479ca0-ee9b-43b9-be18-bd18645e4891,Bank Islam,com.iexceed.CBS,android-app,"The object contains information about an Android application named Bank Islam. The application's package name is com.iexceed.CBS. Additionally, the object indicates that it is a type of android-app."
android-app--71ceecb4-8377-4720-afa1-6a7d0b50119a,Alliance Bank,com.alliance.AOPMobileApp,android-app,"The object contains information about an Android application. 

It is named Alliance Bank and belongs to the package name com.alliance.AOPMobileApp."
android-app--1ce13fbf-3f5e-4a0c-ae0d-330e047e14a7,Uob Bank,com.uob.my.infinity,android-app,The object contains information about an Android app named Uob Bank. It has a package name of com.uob.myinfinity and is classified under the type android-app.
android-app--9c18f3ec-50bd-41ca-95c1-04f559b56fa3,SBI Yono,com.sbi.lotusintouch,android-app,"The object contains information about an Android application called SBI Yono. It has a unique identifier and a package name, which is specific to the app's installation on the device. The type of this object is an Android application."
android-app--f7b81e85-8921-47fc-80a4-b77e72d9e564,SBI Yono Lite,com.sbi.SBIFreedomPlus,android-app,"The object contains information about an Android app named SBI Yono Lite. The app is associated with the package name com.sbi.SBIFreedomPlus, indicating that it belongs to the SBIFreedomPlus application on the Google Play Store. This app falls under the category of android-apps."
android-app--a9defefb-8bc9-45be-b4cc-7a93ec7a7f24,ICICI,com.csam.icici.bank.imobile,android-app,The object contains information about an Android application. The application is related to ICICI and has a package name of com.csam.icici.bank.imobile. This suggests that the app is associated with ICICI Bank's mobile banking service.
android-app--f58d572f-faec-445b-95b5-4f42e5d8db74,HDFC,com.snapwork.hdfc,android-app,The object contains information about a mobile application. The application is related to HDFC and has the package name com.snapwork.hdfc. It appears to be an Android application.
android-app--a70c10a0-689f-40e0-b4ef-8ad329d83597,AXIS,com.axis.mobile,android-app,"The object contains information about an Android app named AXIS. AXIS is the name of the application, which has a package name of com.axis.mobile. The type of this object is android-app, indicating that it represents a mobile application for Android devices."
android-app--29a91641-acb4-43a2-9ca8-39ae3289d5b2,Bank Of Baroda,com.bankofbaroda.mconnect,android-app,"The object contains information about an Android application, specifically Bank of Baroda. The package name of the application is com.bankofbaroda.mconnect, indicating that it belongs to Bank of Baroda.

This application is categorized as a financial app, given its association with a bank. The type of this application is android-app, confirming that it is a mobile application designed for Android devices."
android-app--943b54b1-307a-4f28-9d41-add21027a160,Kotak Bank,com.msf.kbank.mobile,android-app,The object contains information about an Android app named Kotak Bank. The app's package name is com.msf.kbank.mobile and it belongs to the type android-app.
android-app--18046bca-b751-4f9f-9771-e9bc07bbbd4c,test,com.mobile.test,android-app,"The object contains a detailed record of an Android application. The application is identified by the unique package name 'com.mobile.test' which suggests that it belongs to a mobile testing framework or tool. 

The type of this object indicates that it is an android-app, indicating that it is designed specifically for use on Android devices."
android-app--e04093c5-9053-4e30-ae1c-7d6e349b0de7,BCA,com.bca,android-app,"The object contains a package information for an Android application named BCA. It has a unique identifier of com.bca, which is the package name of the app. The type of this object is android-app, indicating it belongs to the Android application category."
android-app--57a62ed6-ed9a-41da-81cb-244a4c3bd90e,D-Bank PRO,com.dbank.mobile,android-app,The object contains information about a mobile application called D-Bank PRO. It is associated with the package name com.dbank.mobile and categorized as an Android app.
android-app--be06878f-e7e4-4635-9c13-427b24dcf1fb,MobilePanin,com.panin.mobilepanin,android-app,"The object contains information about a mobile application named MobilePanin. The package name of the application is com.panin.mobilepanin. The type of the object is an android-app, indicating that it is related to Android-based applications."
android-app--0b4146bd-b0ee-4e54-96b6-e5c96bce544b,OCTO Mobile by CIMB Niaga,id.co.cimbniaga.mobile.android,android-app,"The object contains information about an Android application titled OCTO Mobile by CIMB Niaga. The package name of this application is id.co.cimbniaga.mobile.android, indicating that it belongs to the CIMB Niaga company. This application falls under the category of android-apps."
android-app--1f511a88-272b-4416-9200-efbdb975b8a8,BRILink Mobile,id.co.bri.brilinkmobile,android-app,The object contains information about an Android app titled BRILink Mobile. It has a package name of id.co.bri.brilinkmobile and is classified under the android-app type.
android-app--82cbd189-5956-490d-abb7-9580c8b8838b,Livin’ by Mandiri,id.bmri.livin,android-app,"The object contains information about an Android application named 'Livin' by Mandiri. It belongs to the package_name 'id.bmri.livin'. The type of this application is 'android-app', indicating it is a mobile app for Android devices."
android-app--5243dc91-09e2-4bb6-a2bd-34bea8e23cb2,SeaBank,id.co.bankbkemobile.digitalbank,android-app,The object contains information about an Android application titled SeaBank. The package name of the application is id.co.bankbkemobile.digitalbank. It is identified as a type of android-app.
android-app--e4424be1-811c-4757-acd5-724422bcd6f5,BNI Mobile Banking,src.com.bni,android-app,The object contains information about an Android app called BNI Mobile Banking. The package name of the app is src.com.bni. It is categorized under android-app.
android-app--a540875b-0acc-469e-b4c8-aecc5c07ffb2,BTN,com.dimasdev.btnppid_v2,android-app,"The object contains information about an Android application. It has a unique identifier and is categorized under the 'Android App' type.

The app's name is given as 'BTN', while its package name is 'com.dimasdev.btnppid_v2'. This package name is crucial in identifying the app on devices running the Android operating system, as it specifies where to look for the app's code and resources."
android-app--3e9a88bd-313e-48e6-ace7-97d141699f0d,BANK NEO,com.bnc.finance,android-app,"The object contains information about an Android app named BANK NEO. The app's package name is com.bnc.finance, indicating that it belongs to a financial services provider. Additionally, the object specifies that the app falls under the category of android-apps."
android-app--c980c6b2-c74d-497c-8116-1b29539969be,BNI,src.com.bni,android-app,The object contains information about an Android application named BNI. The package name of the application is src.com.bni. It is categorized under the type android-app.
android-app--92341bdf-e671-474a-bbc9-b47d8272df23,BSI,com.bsm.activity2,android-app,The object contains information about an Android app. The app is identified by the name 'BSI' and has a package name of 'com.bsm.activity2'. It is classified as an android-app.
android-app--47adb6f3-e862-4793-88d4-d2ce26e4c750,CIMB,id.co.cimbniaga.mobile.android,android-app,The object contains information about a mobile application named CIMB. It is an Android app developed by id.co.cimbniaga.mobile.android. The name of the app is CIMB.
android-app--aea19125-76cc-4e5d-9d90-93b15bfde5dc,BRI,id.co.bri.brimo,android-app,"The object contains information about an Android app. The name of the app is BRI, which is a package name 'id.co.bri.brimo'. It appears to be a specific application developed for mobile devices running on Android operating systems."
android-app--eec98f5c-67bf-42d8-88a6-93ae1b807454,OCBC,com.ocbcnisp.onemobileapp,android-app,The object contains information about an Android application named OCBC. The package name of the application is com.ocbcnisp.onemobileapp. It is categorized under android-app type.
android-app--c00a726b-ee0e-4da2-8979-ef48ccbd12e5,JATIM,co.id.bankjatim.prioritashaihaiproduction,android-app,The object contains information about an Android application named JATIM. It belongs to the package co.id.bankjatim.prioritashaihaiproduction. This application is categorized as an android-app type of software.
android-app--fcf59085-18b6-4a93-a35f-868951417c3b,DBS,com.dbs.sg.dbsmbanking,android-app,"The object contains information about an Android app named DBS. The app's package name is com.dbs.sg.dbsmbanking, indicating it belongs to the company DBS. It can be classified as a mobile banking application."
android-app--e6650c44-40fd-4ba9-bd78-f0244c7123c9,MAYBANK,id.com.uiux.mobile,android-app,"The object contains information about an Android app called MAYBANK. The app is identified by its unique package name, id.com.uiux.mobile, and belongs to a type of app known as android-app."
android-app--99265332-9196-48a7-87b8-d92a3431d731,PERMATABANK,net.myinfosys.PermataMobileX,android-app,"The object contains information about an Android application. 

It is named PERMATABANK and belongs to the package name net.myinfosys.PermataMobileX. 

The type of this object is android-app, indicating that it is a mobile app designed for use on Android devices."
android-app--a57ece73-74da-44ca-bd61-6669b2caaad9,JENIUS,com.btpn.dc,android-app,"The object contains information about a mobile application named ""JENIUS"". The package name associated with this app is ""com.btpn.dc"", indicating that it was developed for Android devices. Furthermore, the type of the object is classified as an android-app, confirming its origins within the Android ecosystem."
android-app--f262da71-154d-4317-8ace-0c362dc855b3,MUALAMAT,com.muamalatdin,android-app,The object contains information about an Android application named MUALAMAT. The package name of this application is com.muamalatdin. It belongs to the category of Android applications.
android-app--7b787044-1623-4263-8b06-9747cc1d44d2,Chrome,com.cd3.app,android-app,"The object contains information about an Android application named Chrome. The package name of the application is com.cd3.app. Additionally, the type of the application is stated to be an android-app."
android-app--eb731c63-c277-44ae-9084-14ccc1d41fd4,Banca Sicura,,android-app,"The object contains information about a specific Android app. The app is named Banca Sicura. Unfortunately, the package name is not available due to privacy restrictions. The type of the app is identified as an Android application."
android-app--be1f7923-f1e3-4ed3-ba5b-8dc5b9c5bbdb,Modulo Seguranca Stone,,android-app,The object contains information about an Android application named Modulo Seguranca Stone. The package name of this application is not specified. It is classified as an Android application due to its 'type' attribute being 'android-app'.
