aliases,created,created_by_ref,description,external_references,id,kill_chain_phases,labels,modified,name,object_marking_refs,spec_version,type,x_mitre_detection,x_mitre_id,x_mitre_permissions_required,x_mitre_platforms,x_mitre_tactic_type,summary
,,,"Lokibot collects sensitive information from web browsers, FTP clients, vaults, and password managers. It loads sqlite3.dll, mozsqlite3.dll, and nss3.dll to access and decrypt stored browser data.","[{""source_name"": ""mitre-attack"", ""external_id"": ""T1555"", ""url"": ""https://attack.mitre.org/techniques/T1555/""}]",attack-pattern--910ae8e7-117c-4e5a-8e28-a9c01fca0f6c,,,,Credentials from Password Stores,,,attack-pattern,,,,,,"The object contains information about an attack pattern titled ""Credentials from Password Stores"". This attack pattern involves the use of Lokibot to collect sensitive information from various sources, including web browsers, FTP clients, vaults, and password managers.

Lokibot loads specific DLL files (sqlite3.dll, mozsqlite3.dll, and nss3.dll) to access and decrypt stored browser data. The provided external reference from MITRE-Attack highlights the relevance of this attack pattern.

The attack pattern is categorized as a technique used by attackers to obtain sensitive information from password stores. However, it does not provide further details on how this technique is utilized in real-world scenarios or its implications."
,,,"Lokibot can download additional malware, plugins, or malicious components using the UrlDownloadToFileW Windows API, saving files in the %temp% folder and executing them.","[{""source_name"": ""mitre-attack"", ""external_id"": ""T1105"", ""url"": ""https://attack.mitre.org/techniques/T1105/""}]",attack-pattern--db870e51-cad2-4a0d-9029-473edacaf8bb,,,,Ingress Tool Transfer,,,attack-pattern,,,,,,"The object contains details about an attack pattern identified as 'Ingress Tool Transfer'. This attack pattern involves the use of a bot, specifically Lokibot, to download malicious components from the internet and execute them on the victim's system. The malware is saved in the temporary folder and can potentially cause harm by allowing additional malware or plugins to be installed.

The attack pattern is linked to an external source, 'mitre-attack', which assigns it a specific identifier, T1105. This indicates that the attack pattern is part of a broader set of techniques used in cyber attacks.

It's worth noting that this attack pattern does not have any labels or kill chain phases associated with it, and its metadata fields are currently blank."
,,,Lokibot attempts to enable the SeDebugPrivilege token to gain higher-level permissions and interact with system processes such as lsass.exe.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1134"", ""url"": ""https://attack.mitre.org/techniques/T1134/""}]",attack-pattern--82d355e5-1343-4692-bf05-72d9f47aedae,,,,Access Token Manipulation,,,attack-pattern,,,,,,"The object contains information about an attack pattern labeled as ""Access Token Manipulation"". This pattern is related to the manipulation of access tokens in Windows systems. The main goal of this attack is to gain higher-level permissions by enabling the SeDebugPrivilege token.

Lokibot is a tool that attempts to enable this privilege, allowing it to interact with system processes such as lsass.exe. However, there is no clear information on how Lokibot achieves this or its intended purpose.

The attack pattern has been linked to MITRE ATT&CK technique T1134. This technique involves the use of access tokens to gain elevated privileges. The provided link references a detailed description of this technique, which can be accessed by visiting the mentioned URL.

There is limited information available on the labels and kill chain phases associated with this attack pattern, as they are currently marked as not applicable or available."
,,,Lokibot injects shellcode into lsass.exe for credential dumping and injects itself into a newly created vbc.exe process for defense evasion.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1055"", ""url"": ""https://attack.mitre.org/techniques/T1055/""}]",attack-pattern--27d6aa85-67a5-4da4-8cf3-768408f1f9c4,,,,Process Injection,,,attack-pattern,,,,,,"The object contains information about an attack pattern known as ""Process Injection"". This attack pattern involves a threat actor injecting shellcode into the lsass.exe process for credential dumping purposes. Additionally, the attacker injects itself into a newly created vbc.exe process in order to evade detection.

The attack pattern is associated with MITRE-Attack's technique T1055 and has an external reference linking to this specific technique. The detailed description of the attack pattern highlights its key characteristics, including the injection of shellcode into lsass.exe and the creation of a new vbc.exe process for defense evasion purposes.

Overall, the ""Process Injection"" attack pattern is a sophisticated tactic used by threat actors to compromise systems by injecting malicious code into legitimate processes."
,,,Lokibot accesses Outlook profile information stored in the Windows registry to extract email account credentials and configuration data.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1552.002"", ""url"": ""https://attack.mitre.org/techniques/T1552/002/""}]",attack-pattern--5f658248-02da-41b0-a4b2-af7fffea1a71,,,,Credentials in Registry,,,attack-pattern,,,,,,"The object contains a threat intelligence record for an attack pattern titled ""Credentials in Registry"". This attack pattern involves the use of Lokibot to access Outlook profile information stored in the Windows registry, extracting email account credentials and configuration data.

The threat actor utilizes this method to gain unauthorized access to sensitive information. The attack pattern is categorized as a type of tactic, technique, and procedure (TTP) used by adversaries to compromise systems and steal valuable data.

Further analysis reveals that the attack pattern has been identified in a specific report from Mitre-Attack, referencing the external ID ""T1552.002"". This external reference highlights the importance of this threat actor's TTP in the context of broader adversary tactics.

The attack pattern is attributed to a specific threat actor and has been documented with various metadata fields, including aliases, created_by_ref, labels, modified, name, object_marking_refs, spec_version, type, x_mitre_detection, x_mitre_id, x_mitre_permissions_required, and x_mitre_platforms."
,,,Lokibot creates a scheduled task pointing to a dropped copy of itself to maintain persistence and privilege escalation.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1053"", ""url"": ""https://attack.mitre.org/techniques/T1053/""}]",attack-pattern--5b27c1ae-eaef-4af4-aad6-2b856aa1a481,,,,Scheduled Task/Job,,,attack-pattern,,,,,,"The object contains information about a specific attack pattern identified by the term ""Scheduled Task/Job"". This attack pattern is created by Lokibot, which creates a scheduled task pointing to a dropped copy of itself in order to maintain persistence and privilege escalation.

Further details about this attack pattern are not provided. However, external references have been linked to this attack pattern, including a reference from MITRE-ATTACK that corresponds to technique T1053."
"[""ClickFix Lure""]",,,ClickFix is a social engineering technique that tricks users into pasting and running a malicious command (typically via Win+R and Ctrl+V) in the Windows Run prompt. It is used to initiate multi-stage malware execution chains.,,attack-pattern--c437df7b-5b74-4caa-aa62-a0cf104ff59b,,,,ClickFix Social Engineering,,,attack-pattern,,,,,,"The object contains information about a social engineering technique called ClickFix Social Engineering. It is a type of attack-pattern that uses social engineering to trick users into pasting and running a malicious command in the Windows Run prompt.

ClickFix is used to initiate multi-stage malware execution chains, making it a potentially serious threat to computer systems. The term is also sometimes listed as ""ClickFix Lure"" in alias fields."
"[""Stego Loader""]",,,"A custom loader that uses steganography to conceal malware payloads within the pixel data of PNG images. The loader extracts and decrypts shellcode from specific colour channels, complicating detection and analysis.",,attack-pattern--c3b20c9b-3347-45b2-a142-cfc300561873,,,,Steganographic Loader,,,attack-pattern,,,,,,"The object contains a custom malware loader known as the Steganographic Loader. This malicious software uses steganography to conceal malware payloads within the pixel data of PNG images. The loader's primary function is to extract and decrypt shellcode from specific color channels, making it challenging for security analysts to detect and analyze the malware.

By exploiting this technique, the Steganographic Loader complicates traditional detection methods, allowing attackers to evade standard security measures. This attack pattern represents a sophisticated method of delivering malicious payloads, emphasizing the need for advanced threat detection and analysis capabilities.

In summary, the Steganographic Loader is a highly evasive malware loader that employs steganography to conceal its payload within image data, rendering it difficult to detect and analyze. Its sophisticated nature highlights the importance of staying up-to-date with emerging threat intelligence and implementing robust security measures to counter such attacks."
,,,Malicious .NET assemblies are dynamically decrypted and reflectively loaded to inject shellcode into target processes (such as explorer.exe) using Win32 API calls.,,attack-pattern--6290fb7b-f46f-4148-8b3e-32150b370671,,,,Process Injection via Reflective .NET Assembly,,,attack-pattern,,,,"[""Windows""]",,"The object contains information related to a type of attack pattern known as Process Injection via Reflective .NET Assembly. This attack pattern involves the use of malicious .NET assemblies that are dynamically decrypted and reflectively loaded to inject shellcode into target processes, such as explorer.exe.

In more detail, the process of injection typically relies on Win32 API calls to achieve its goals. The attackers exploit the capabilities of .NET assemblies to execute arbitrary code in a targeted system without requiring any explicit user interaction.

This attack pattern is particularly relevant on Windows-based systems, as indicated by the associated x_mitre_platforms field listing ""Windows"" as one of its platforms."
,,,"Malware payloads are packed using Donut shellcode, which allows .NET assemblies to be executed in-memory and evades traditional detection mechanisms.","[{""source_name"": ""github"", ""url"": ""https://github.com/TheWover/donut""}]",attack-pattern--b8e15d82-bb7c-40e3-a5c7-2606de523b65,,,,Donut Shellcode Packing,,,attack-pattern,,,,,,"The object contains a detailed description of an attack pattern known as ""Donut Shellcode Packing"". This type of malware uses Donut shellcode to pack payloads, allowing .NET assemblies to be executed in-memory and evading traditional detection mechanisms.

The shellcode is specifically designed to allow malicious code to run without being detected by traditional antivirus software. By using the Donut shellcode, attackers can create complex and stealthy malware that can infect systems undetected.

According to external references, information about the Donut shellcode can be found on GitHub, where it was initially shared by user ""TheWover"".

This attack pattern is classified as a type of malicious activity, but no additional details are available in the provided data."
,,,"Threat actors instruct victims to manually execute malicious commands by pasting them into the Windows Run prompt, leveraging social engineering to bypass technical controls.",,attack-pattern--067857a7-7678-4363-9a24-d02c05852c41,,,,User Execution via Windows Run Box,,,attack-pattern,,,,"[""Windows""]",,"The object contains information about a specific attack pattern categorized as 'User Execution via Windows Run Box'. This type of attack involves threat actors instructing victims to manually execute malicious commands by pasting them into the Windows Run prompt. The attackers leverage social engineering tactics to bypass technical controls and gain access to sensitive systems.

The attack relies on the human factor, exploiting the trust placed in legitimate system prompts. By manipulating these prompts, attackers can execute malicious commands without being detected by traditional security measures. This makes it a challenging threat to mitigate, as it does not rely solely on technical vulnerabilities.

Key characteristics of this attack pattern include its reliance on social engineering and the use of Windows-specific features to bypass security controls."
,,,The malicious file rasmanesc.exe escalates its privileges to administrator level on the victim's system.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1134.002"", ""url"": ""https://attack.mitre.org/techniques/T1134/002/""}]",attack-pattern--012af89c-fd06-44d1-884d-2f1b3ecd28d6,,"[""privilege escalation""]",,Privilege Escalation via rasmanesc.exe,,,attack-pattern,,,,,,"The object contains information about a malicious attack pattern titled ""Privilege Escalation via rasmanesc.exe"". This attack leverages the rasmanesc.exe file to escalate privileges to administrator level on a victim's system. The malicious behavior is documented in external references, including a link from MITRE-Attack (T1134.002). 

The labels associated with this attack pattern are ""privilege escalation"", indicating that it falls under the broader category of privilege-related attacks."
,,,rasmanesc.exe disables Windows Defender to avoid detection.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1562.001"", ""url"": ""https://attack.mitre.org/techniques/T1562/001/""}]",attack-pattern--7f577127-0a39-4af1-9f37-a20213e3702c,,"[""defense evasion""]",,Disable Windows Defender,,,attack-pattern,,,,,,"The object contains information about a specific attack pattern identified as ""Disable Windows Defender"". The details of this attack pattern include the following:

*   It is characterized by its aliases, but these are not specified.
*   The description clearly states that the purpose of running rasmanesc.exe is to disable Windows Defender in order to avoid detection.
*   The external references provided highlight a specific Mitre-attack technique (T1562.001) associated with this attack pattern.
*   The labels assigned to this attack pattern are ""defense evasion"", which indicates its nature as a tactic used for evading detection.
*   No information is available regarding the object marking refs, kill chain phases, modified date, or spec version.
*   The name of the attack pattern is indeed ""Disable Windows Defender"".
*   It does not appear that there is any additional metadata to report."
,,,rasmanesc.exe fetches a sample of the Webrat malware family from a hardcoded URL and executes it.,"[{""source_name"": ""mitre-attack"", ""external_id"": ""T1608.001"", ""url"": ""https://attack.mitre.org/techniques/T1608/001/""}]",attack-pattern--06388461-7f97-4082-bd0b-8041f30d3bb7,,"[""execution"", ""command and control""]",,Fetch and Execute Malware from Hardcoded URL,,,attack-pattern,,,,,,"The object contains information about an attack pattern identified by the MITRE Attack Matrix. The attack pattern is named ""Fetch and Execute Malware from Hardcoded URL"" and is classified under the categories of execution and command and control.

According to the data, this attack pattern involves fetching a sample of the Webrat malware family from a hardcoded URL and executing it. This indicates that the attacker aims to compromise a system by running malicious code.

The provided external reference links to the MITRE Attack Matrix technique T1608.001, which provides additional details about the threat. 

In essence, this attack pattern represents a common tactic used by attackers to execute malware from a hardcoded URL, potentially leading to unauthorized access and data breaches."
,2026-01-14T10:11:35.436646Z,identity--a52a53ac-f21e-d92a-dbc5-d60d84b9edee,"In this campaign, a hostile actor within a Kubernetes cluster leverages the ability to create service objects with the 'ExternalIP' field. By specifying arbitrary external IP addresses in a service object, the attacker exploits kube-proxy's behavior, which automatically generates iptables rules to redirect traffic destined for those external IPs to pods under the attacker's control. This enables the attacker to hijack network traffic intended for legitimate external websites or services and intercept, manipulate, or exfiltrate the data. The attack is possible because Kubernetes allows any user with permissions to create service objects to specify ExternalIPs, and kube-proxy does not validate the legitimacy of these IPs. This technique is particularly dangerous as it does not require patching of Kubernetes itself and is present in all clusters unless mitigated by admission controllers or policy enforcement.",,attack-pattern--e5dfa72a-54ee-3feb-c3e2-4eaa243ad92c,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-14T10:11:35.436646Z,Abuse of Kubernetes ExternalIP Service for Traffic Hijacking,,2.1,attack-pattern,,,,,,"The object contains a description of an attack pattern called ""Abuse of Kubernetes ExternalIP Service for Traffic Hijacking"". This attack exploits vulnerabilities within the Kubernetes cluster to hijack network traffic intended for legitimate external websites or services.

A hostile actor can leverage the ability to create service objects with the 'ExternalIP' field, specifying arbitrary external IP addresses. kube-proxy's behavior automatically generates iptables rules to redirect traffic destined for these external IPs to pods under the attacker's control. This enables the attacker to intercept, manipulate, or exfiltrate sensitive data.

The attack is possible because Kubernetes allows any user with permissions to create service objects to specify ExternalIPs, without validating the legitimacy of these IPs. This technique does not require patching of Kubernetes itself and is present in all clusters unless mitigated by admission controllers or policy enforcement.

The attack pattern falls under the ""mitre-attack"" kill chain, specifically in the ""initial-access"" phase."
