aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-17T20:51:47.970872Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Attackers utilize a custom-built tool named StressTester, written in Go, to assess the performance and vulnerability of targeted services. The tool is capable of sending GET and POST requests, as well as executing SQL injection attempts against MS-SQL servers. This allows attackers to test the robustness of services, identify exploitable injection points, and potentially disrupt normal operations. The deployment of StressTester prior to launching brute force or injection attacks indicates a deliberate, reconnaissance-driven approach to exploitation.",,,attack-pattern--2a9aa73f-8dab-b578-9757-8d1a7310d4f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""discovery""}]",,2026-01-17T20:51:47.970872Z,Use of Custom StressTester for Service Availability and SQL Injection Testing,,,2.1,,,attack-pattern,
"[""CLRShell""]",2026-01-17T20:52:11.614672Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"CLR Shell is used by attackers to execute arbitrary commands on compromised MS-SQL servers, enabling further payload delivery and system control.",,,malware--ce06ca58-a8b1-227a-3fad-65480f80b30c,,True,,"[""backdoor"", ""trojan""]",2026-01-17T20:52:11.614672Z,CLR Shell,,,2.1,,,malware,"[""remote-access"", ""command-and-control"", ""lateral-movement""]"
"[""Juicy Potato"", ""Rotten Potato""]",2026-01-17T20:52:11.614794Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Potato-type malware is used for privilege escalation on Windows systems, allowing attackers to gain higher-level access after initial compromise.",,,malware--8ee20279-8391-5ec7-8acc-45027d874316,,True,,"[""privilege-escalation"", ""trojan""]",2026-01-17T20:52:11.614794Z,Potato,,,2.1,,,malware,"[""privilege-escalation"", ""persistence""]"
"[""Cryptominer""]",2026-01-17T20:52:11.614851Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"CoinMiner is deployed to hijack system resources for unauthorized cryptocurrency mining, exploiting compromised servers for financial gain.",,,malware--9a34bbdf-cba5-4f1c-d9ca-cfac9978bf65,,True,,"[""trojan""]",2026-01-17T20:52:11.614851Z,CoinMiner,,,2.1,,,malware,"[""resource-hijacking"", ""persistence""]"
,2026-01-17T20:52:11.614902Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Proxyware is used to monetize compromised servers by sharing their internet bandwidth with external parties, often without the owner's consent.",,,malware--6d7e76f7-4c18-e535-67a4-48e11ebb2498,,True,,"[""trojan"", ""adware""]",2026-01-17T20:52:11.614902Z,Proxyware,,,2.1,,,malware,"[""resource-hijacking"", ""data-exfiltration""]"
"[""Gh0stRAT""]",2026-01-17T20:52:11.614950Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Gh0st RAT is installed to provide attackers with persistent remote access and control over infected systems, enabling data theft and further exploitation.",,,malware--4d1f1382-6a78-92b1-e655-da01495302a0,,True,,"[""remote-access-trojan"", ""backdoor""]",2026-01-17T20:52:11.614950Z,Gh0st RAT,,,2.1,,,malware,"[""remote-access"", ""command-and-control"", ""data-exfiltration""]"
,2026-01-17T20:52:11.614997Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Cobalt Strike is a penetration testing tool frequently abused by attackers to establish command-and-control channels and facilitate lateral movement within networks.,,,malware--d10440fb-0e62-3537-56f5-aa7e3d3d443f,,True,,"[""backdoor"", ""remote-access-trojan""]",2026-01-17T20:52:11.614997Z,Cobalt Strike,,,2.1,,,malware,"[""command-and-control"", ""lateral-movement"", ""remote-access""]"
,2026-01-17T20:52:11.615056Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Meterpreter is a payload used for remote access and post-exploitation, allowing attackers to control compromised systems and execute further malicious actions.",,,malware--2b0ea882-cf9c-918a-9610-d71354fe5166,,True,,"[""backdoor"", ""remote-access-trojan""]",2026-01-17T20:52:11.615056Z,Meterpreter,,,2.1,,,malware,"[""remote-access"", ""command-and-control"", ""lateral-movement""]"
,2026-01-17T20:52:11.615105Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Trigona ransomware targets exposed MS-SQL servers, encrypting files and demanding ransom payments from victims after gaining access via brute force or credential attacks.",,,malware--91cab5f4-544b-ad15-1b29-b7a4c0117368,,True,,"[""ransomware""]",2026-01-17T20:52:11.615105Z,Trigona,,,2.1,,,malware,"[""encryption"", ""data-exfiltration"", ""persistence""]"
,2026-01-17T20:52:11.615153Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Teramind, typically a legitimate RMM tool, is abused by attackers to remotely monitor and control infected systems, facilitating ongoing surveillance and access.",,,malware--078e9bc0-8552-0b5a-7e45-7bb0763e6a67,,True,,"[""remote-access-trojan"", ""spyware""]",2026-01-17T20:52:11.615153Z,Teramind,,,2.1,,,malware,"[""remote-access"", ""persistence"", ""data-exfiltration""]"
,2026-01-17T20:52:11.615199Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"AnyDesk, a legitimate remote desktop application, is used maliciously by attackers to establish persistent remote access to compromised servers.",,,malware--d3ec00d1-2fc8-e67d-8022-63dc9e85639a,,True,,"[""remote-access-trojan""]",2026-01-17T20:52:11.615199Z,AnyDesk,,,2.1,,,malware,"[""remote-access"", ""persistence""]"
,2026-01-17T20:52:11.615252Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"A custom Rust-based scanner is deployed to enumerate and brute-force RDP and MS-SQL services, collecting system and geolocation data for further exploitation.",,,malware--bc45f322-47f3-aaa4-52f6-6eb22e13c63b,,True,,"[""scanner"", ""trojan""]",2026-01-17T20:52:11.615252Z,Rust-based Scanner,,,2.1,,,malware,"[""data-exfiltration"", ""credential-theft"", ""lateral-movement""]"
,2026-01-17T20:52:11.615297Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"StressTester, written in Go, is used to test internet speed and perform SQL injection requests, aiding attackers in identifying vulnerable systems and services.",,,malware--77905037-613d-72b0-2fd2-70e72bfa8b56,,True,,"[""scanner"", ""trojan""]",2026-01-17T20:52:11.615297Z,StressTester,,,2.1,,,malware,"[""data-exfiltration"", ""lateral-movement""]"
,2026-01-17T20:52:15.635085Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Trigona is a ransomware threat actor attributed in the article as actively targeting exposed MS-SQL servers with weak credentials. The group uses a combination of custom malware, remote management tools, and brute-force techniques to gain access, deploy ransomware, and maintain persistence.",,"[""Compromise MS-SQL servers"", ""Deploy ransomware"", ""Establish remote access via tools like AnyDesk and Teramind"", ""Create persistent access accounts"", ""Exfiltrate or monetize system resources""]",threat-actor--91cab5f4-544b-ad15-1b29-b7a4c0117368,,,,,2026-01-17T20:52:15.635085Z,Trigona,financial,advanced,2.1,"[""criminal""]",,threat-actor,
,2026-01-17T20:52:28.591162Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Used to deploy backdoors on compromised MS-SQL servers, enabling attackers to gain remote control and execute commands post-exploitation.",,,tool--d10440fb-0e62-3537-56f5-aa7e3d3d443f,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:52:28.591162Z,Cobalt Strike,,,2.1,,"[""remote-access"", ""exploitation"", ""command-and-control""]",tool,
,2026-01-17T20:52:28.591250Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Installed as a backdoor to provide attackers with interactive control over infected servers, allowing further exploitation and lateral movement.",,,tool--2b0ea882-cf9c-918a-9610-d71354fe5166,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:52:28.591250Z,Meterpreter,,,2.1,,"[""remote-access"", ""exploitation"", ""command-and-control""]",tool,
,2026-01-17T20:52:28.591307Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Abused to establish persistent remote access to compromised servers by installing the legitimate remote desktop software silently.,,,tool--d3ec00d1-2fc8-e67d-8022-63dc9e85639a,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591307Z,AnyDesk,,,2.1,,"[""remote-access"", ""persistence""]",tool,
,2026-01-17T20:52:28.591358Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Used as a legitimate remote desktop tool to maintain unauthorized access to infected systems.,,,tool--70f4c86e-9585-6322-5d1d-807c6069374b,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591358Z,RustDesk,,,2.1,,"[""remote-access"", ""persistence""]",tool,
,2026-01-17T20:52:28.591407Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Installed as a remote monitoring and management (RMM) tool to provide attackers with ongoing surveillance and control over compromised hosts.,,,tool--078e9bc0-8552-0b5a-7e45-7bb0763e6a67,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:52:28.591407Z,Teramind,,,2.1,,"[""remote-access"", ""information-gathering"", ""persistence""]",tool,
,2026-01-17T20:52:28.591456Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Used to execute commands and download malicious payloads (e.g., via Invoke-WebRequest) on compromised servers.",,,tool--2f2d399f-0ea8-8448-59fe-5514b304733b,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591456Z,PowerShell,,,2.1,,"[""execution"", ""information-gathering"", ""download""]",tool,
,2026-01-17T20:52:28.591503Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Abused to extract malicious binaries stored in SQL tables and write them as executable files on the local system.,,,tool--22df3ece-0c89-cb42-339b-12b7537bcca9,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591503Z,BCP (Bulk Copy Program),,,2.1,,"[""execution"", ""exploitation"", ""resource-development""]",tool,
,2026-01-17T20:52:28.591562Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,Used to download malicious executables from remote servers to the infected host.,,,tool--f6e57c9d-e709-e45f-eb0d-955351f53548,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:52:28.591562Z,curl,,,2.1,,"[""download"", ""information-gathering""]",tool,
