aliases,contact_information,created,description,external_references,first_seen,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,primary_motivation,resource_level,roles,sectors,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--031778a4-057f-48e6-9db9-c8d72b81ccd5,,"[""malicious-activity""]",,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]",,2015-05-15T09:12:16.432Z,HTRAN Hop Point Accessor,[ipv4-addr:value = '223.166.0.0/15'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--da1d061b-2bc9-467a-b16f-8d14f468e1f0,,"[""malicious-activity""]",,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]",,2015-05-15T09:12:16.432Z,HTRAN Hop Point Accessor,[ipv4-addr:value = '58.246.0.0/15'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--2173d108-5714-42fd-8213-4f3790259fda,,"[""malicious-activity""]",,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]",,2015-05-15T09:12:16.432Z,HTRAN Hop Point Accessor,[ipv4-addr:value = '112.64.0.0/15'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--8ce03314-dfea-4498-ac9b-136e41ab00e4,,"[""malicious-activity""]",,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]",,2015-05-15T09:12:16.432Z,HTRAN Hop Point Accessor,[ipv4-addr:value = '139.226.0.0/15'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--3f3ff9f1-bb4e-4392-89e5-1991179042ba,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,FQDN hugesoft.org,[domain-name:value = 'hugesoft.org'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--8390fd29-24ed-45d4-84d7-c5e5feaf195d,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,FQDN arrowservice.net,[domain-name:value = 'arrowservice.net'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--1002c58e-cbde-4930-b5ee-490037fd4f7e,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,FQDN msnhome.org,[domain-name:value = 'msnhome.org'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--8d12f44f-8ac0-4b12-8b4a-3699ca8c9691,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,Appendix E MD5 hash '001dd76872d80801692ff942308c64e6',[file:hashes.md5 = '001dd76872d80801692ff942308c64e6'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--745e1537-b4f3-49da-9f64-df6b1b5df190,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,Appendix E MD5 hash '002325a0a67fded0381b5648d7fe9b8e',[file:hashes.md5 = '002325a0a67fded0381b5648d7fe9b8e'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--1dbe6ed0-c305-458f-9cce-f83c678f5afd,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,Appendix E MD5 hash '00dbb9e1c09dbdafb360f3163ba5a3de',[file:hashes.md5 = '00dbb9e1c09dbdafb360f3163ba5a3de'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--b3b6b540-d838-41e2-853b-005056c00008,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,Appendix F SSL Certificate for serial number '(Negative)4c:0b:1d:19:74:86:a7:66:b4:1a:bf:40:27:21:76:28',[x509-certificate:issuer = 'CN=WEBMAIL' AND x509-certificate:serial_number = '4c:0b:1d:19:74:86:a7:66:b4:1a:bf:40:27:21:76:28'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,Test description.,,,indicator--b3b7035e-d838-41e2-8d38-005056c00008,,"[""malicious-activity""]",,,,2015-05-15T09:12:16.432Z,Appendix F SSL Certificate for serial number '0e:97:88:1c:6c:a1:37:96:42:03:bc:45:42:24:75:6c',[x509-certificate:issuer = 'CN=LM-68AB71FBD8F5' AND x509-certificate:serial_number = '0e:97:88:1c:6c:a1:37:96:42:03:bc:45:42:24:75:6c'],stix,,,,,,2.1,,,indicator,2015-05-15T09:12:16.432678Z
,,2015-05-15T09:12:16.432Z,"This malware will beacon out at random intervals to the remote attacker. The attacker can run programs, execute arbitrary commands, and easily upload and download files.",,,malware--2485b844-4efe-4343-84c8-eb33312dd56f,,,False,,"[""backdoor"", ""dropper"", ""remote-access-trojan""]",2015-05-15T09:12:16.432Z,MANITSME,,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,A WEBC2 backdoor is designed to retrieve a Web page from a C2 server. It expects the page to contain special HTML tags; the backdoor will attempt to interpret the data between the tags as commands.,,,malware--c0217091-9d3d-42a1-8952-ccc12d4ad8d0,,,False,,"[""backdoor"", ""remote-access-trojan""]",2015-05-15T09:12:16.432Z,WEBC2-UGX,,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,A WEBC2 backdoor is designed to retrieve a Web page from a C2 server. It expects the page to contain special HTML tags; the backdoor will attempt to interpret the data between the tags as commands.,,,malware--0f01c5a3-f516-4450-9381-4dd9f2279411,,,False,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]","[""backdoor"", ""remote-access-trojan""]",2015-05-15T09:12:16.432Z,WEBC2 Backdoor,,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,"When APT1 attackers are not using WEBC2, they require a “command and control” (C2) user interface so they can issue commands to the backdoor. This interface sometimes runs on their personal attack system, which is typically in Shanghai. In these instances, when a victim backdoor makes contact with a hop, the communications need to be forwarded from the hop to the intruder’s Shanghai system so the backdoor can talk to the C2 server software. We have observed 767 separate instances in which APT1 intruders used the publicly available “HUC Packet Transmit Tool” or HTRAN on a hopThe HTRAN utility is merely a middle-man, facilitating connections between the victim and the attacker who is using the hop point.",,,malware--33159b98-3264-4e10-a968-d67975b6272f,,,False,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]","[""backdoor"", ""remote-access-trojan""]",2015-05-15T09:12:16.432Z,HUC Packet Transmit Tool (HTRAN),,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,"Malware family that contains functionality for keystroke logging, creating and killing processes, performing file system and registry modifications, etc.",,,malware--fb490cdb-6760-41eb-a79b-0b930a50c017,,,True,,"[""backdoor"", ""keylogger""]",2015-05-15T09:12:16.432Z,AURIGA,,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,"Malware family that contains functionality for keylogging, creating and killing processes, performing filesystem and registry modifications, etc.",,,malware--ea50ecb7-2cd4-4895-bd08-31cd591ed0ca,,,False,,"[""backdoor"", ""keylogger""]",2015-05-15T09:12:16.432Z,BANGAT,,,,,,,,2.1,,,malware,
,,2015-05-15T09:12:16.432Z,This program extracts cached password hashes from a system’s registry.,,,tool--ce45f721-af14-4fc0-938c-000c16186418,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,cachedump,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,Windows password hash dumper,"[{""source_name"": ""fgdump"", ""url"": ""http://www.foofus.net/fizzgig/fgdump/""}]",,tool--e9778c42-bc2f-4eda-9fb4-6a931834f68c,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,fgdump,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,"Obtains password hashes from the Windows registry, including the SAM file, cached domain credentials, and LSA secrets","[{""source_name"": ""gsecdump"", ""url"": ""http://www.truesec.se""}]",,tool--1cf6a3b8-be43-4c1a-b042-546a890c31b2,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,gsecdump,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,Dump active logon session password hashes from the lsass process,"[{""source_name"": ""lslsass"", ""url"": ""http://www.truesec.se""}]",,tool--4d82bd3e-24a3-4f9d-b8f3-b57267fe06a9,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,lslsass,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,A utility primarily used for dumping password hashes,"[{""source_name"": ""mimikatz"", ""url"": ""http://blog.gentilkiwi.com/mimikatz""}]",,tool--7de5dfcc-6809-4772-9f11-cf26c2be53aa,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,mimikatz,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,Allows an intruder to “pass” a password hash (without knowing the original password) to log in to systems,"[{""source_name"": ""pass-the-hash toolkit"", ""url"": ""http://oss.coresecurity.com/projects/pshtoolkit.htm""}]",,tool--266b12f2-aa16-4607-809e-f2d33eebb52e,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,pass-the-hash toolkit,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,Dumps password hashes from the Windows registry,"[{""source_name"": ""pwdump7"", ""url"": ""http://www.tarasco.org/security/pwdump_7/""}]",,tool--98fd8dc1-6cc7-4908-899f-07473f55149a,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,pwdump7,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,Dumps password hashes from the Windows registry,,,tool--4215b0e5-928e-4b2a-9b5f-64819f287f48,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,pwdumpX,,,,,,,,2.1,,"[""credential-exploitation""]",tool,
,,2015-05-15T09:12:16.432Z,"GETMAIL was designed specifically to extract email messages, attachments, and folders from within Microsoft Outlook archive (“PST”) files.",,,tool--a6dd62d0-9683-48bf-a9cd-61e7eceae57e,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""complete-mission""}]",,2015-05-15T09:12:16.432Z,GETMAIL,,,,,,,,2.1,,"[""information-gathering""]",tool,
,,2015-05-15T09:12:16.432Z,MAPIGET was designed specifically to steal email that has not yet been archived and still resides on a Microsoft Exchange Server.,,,tool--806a8f83-4913-4216-bb19-02b48ae25da5,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""complete-mission""}]",,2015-05-15T09:12:16.432Z,MAPIGET,,,,,,,,2.1,,"[""information-gathering""]",tool,
,,2015-05-15T09:12:16.432Z,"As with most other APT groups, spear phishing is APT1’s most commonly used technique. The spear phishing emails contain either a malicious attachment or a hyperlink to a malicious file. The subject line and the text in the email body are usually relevant to the recipient. APT1 also creates webmail accounts using real peoples’ names — names that are familiar to the recipient, such as a colleague, a company executive, an IT department employee, or company counsel. The files they use contain malicious executables that install a custom APT1 backdoor that we call WEBC2-TABLE.","[{""source_name"": ""capec"", ""description"": ""spear phishing"", ""external_id"": ""CAPEC-163""}]",,attack-pattern--3098c57b-d623-4c11-92f4-5905da66658b,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""initial-compromise""}]",,2015-05-15T09:12:16.432Z,Initial Compromise,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,"APT1 establishes a foothold once email recipients open a malicious file and a backdoor is subsequently installed.  In almost every case, APT backdoors initiate outbound connections to the intruder’s 'command and control' (C2) server. While APT1 intruders occasionally use publicly available backdoors such as Poison Ivy and Gh0st RAT, the vast majority of the time they use what appear to be their own custom backdoors. APT1’s backdoors are in two categories: 'Beachhead Backdoors' and 'Standard Backdoors.' Beachhead Backdoors offer the attacker a toe-hold to perform simple tasks like retrieve files, gather basic system information and trigger the execution of other more significant capabilities such as a standard backdoor. APT1’s beachhead backdoors are usually what we call WEBC2 backdoors. WEBC2 backdoors are probably the most well-known kind of APT1 backdoor, and are the reason why some security companies refer to APT1 as the Comment Crew. A WEBC2 backdoor is designed to retrieve a webpage from a C2 server. It expects the webpage to contain special HTML tags; the backdoor will attempt to interpret the data between the tags as commands. WEBC2 backdoors are often packaged with spear phishing emails. Once installed, APT1 intruders have the option to tell victim systems to download and execute additional malicious software of their choice. The standard, non-WEBC2 APT1 backdoor typically communicates using the HTTP protocol (to blend in with legitimate web traffic) or a custom protocol that the malware authors designed themselves. The BISCUIT backdoor (so named for the command “bdkzt”) is an illustrative example of the range of commands that APT1 has built into its “standard” backdoors. APT1 has used and steadily modified BISCUIT since as early as 2007 and continues to use it presently. Some APT backdoors attempt to mimic legitimate Internet traffic other than the HTTP protocol. When network defenders see the communications between these backdoors and their C2 servers, they might easily dismiss them as legitimate network traffic. Additionally, many of APT1’s backdoors use SSL encryption so that communications are hidden in an encrypted SSL tunnel.",,,attack-pattern--1e2c4237-d469-4144-9c0b-9e5c0c513c49,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""establish-foothold""}]",,2015-05-15T09:12:16.432Z,Establishing a Foothold,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,Escalating privileges involves acquiring items (most often usernames and passwords) that will allow access to more resources within the network. APT1 predominantly uses publicly available tools to dump password hashes from victim systems in order to obtain legitimate user credentials.,,,attack-pattern--e13f3e6d-4f9c-4265-b1cf-f997a1bf7827,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""escalate-privileges""}]",,2015-05-15T09:12:16.432Z,Privilege Escalation,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,"In the Internal Reconnaissance stage, the intruder collects information about the victim environment. Like most APT (and non-APT) intruders, APT1 primarily uses built-in operating system commands to explore a compromised system and its networked environment. Although they usually simply type these commands into a command shell, sometimes intruders may use batch scripts to speed up the process.",,,attack-pattern--5728f45b-2eca-4942-a7f6-bc4267c1ab8d,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""internal-recon""}]",,2015-05-15T09:12:16.432Z,Internal Reconnaisance,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,"Once an APT intruder has a foothold inside the network and a set of legitimate credentials, it is simple for the intruder to move around the network undetected. They can connect to shared resources on other systems. They can execute commands on other systems using the publicly available 'psexec' tool from Microsoft Sysinternals or the built-in Windows Task Scheduler ('at.exe').",,,attack-pattern--0bea2358-c244-4905-a664-a5cdce7bb767,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""move-laterally""}]",,2015-05-15T09:12:16.432Z,Lateral Movement,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,"In this stage, the intruder takes actions to ensure continued, long-term control over key systems in the network environment from outside of the network. APT1 does this in three ways: Install new backdoors on multiple systems, use legitimate VPN credentials, and log in to web portals.",,,attack-pattern--7151c6d0-7e97-47ce-9290-087315ea3db7,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""maintain-presence""}]",,2015-05-15T09:12:16.432Z,Maintain Presence,,,,,,,,2.1,,,attack-pattern,
,,2015-05-15T09:12:16.432Z,"Similar to other APT groups we track, once APT1 finds files of interest they pack them into archive files before stealing them. APT intruders most commonly use the RAR archiving utility for this task and ensure that the archives are password protected. Sometimes APT1 intruders use batch scripts to assist them in the process. After creating files compressed via RAR, the APT1 attackers will transfer files out of the network in ways that are consistent with other APT groups, including using the File Transfer Protocol (FTP) or their existing backdoors. Many times their RAR files are so large that the attacker splits them into chunks before transferring them. Unlike most other APT groups we track, APT1 uses two email-stealing utilities that we believe are unique to APT1. The first, GETMAIL, was designed specifically to extract email messages, attachments, and folders from within Microsoft Outlook archive ('PST') files. The GETMAIL utility allows APT1 intruders the flexibility to take only the emails between dates of their choice. In one case, we observed an APT1 intruder return to a compromised system once a week for four weeks in a row to steal only the past week’s emails. Whereas GETMAIL steals email in Outlook archive files, the second utility, MAPIGET, was designed specifically to steal email that has not yet been archived and still resides on a Microsoft Exchange Server. In order to operate successfully, MAPIGET requires username/password combinations that the Exchange server will accept. MAPIGET extracts email from specified accounts into text files (for the email body) and separate attachments, if there are any.",,,attack-pattern--0781fe70-4c94-4300-8865-4b08b98611b4,,,,"[{""kill_chain_name"": ""mandiant-attack-lifecycle-model"", ""phase_name"": ""complete-mission""}]",,2015-05-15T09:12:16.432Z,Completing the Mission,,,,,,,,2.1,,,attack-pattern,
